Name of schools,Adress,Pin code,Contact
Frank Anthony Public school," 171, AJC Bose Road, Beniapukur, Kolkata, West Bengal 700014 
",700014,3322848038
Don Bosco School," 23, Darga Road, Park Circus, Kolkata, West Bengal 700017 ",700017,3322879202
Army Public School," Ballygunge Maidan Camp, Ballygunge Circular Road, Kolkata, West Bengal 700019 
",700019,3324866629
Hindu School," 1-B, Bankim Chatterjee Street, Kolkata, West Bengal 700073 ",70073,3322412987
Shri Shikshayatan School,"2/H/9/3, Metropolitan Co-Operative Housing Society Limited, Tangra, Kolkata, West Bengal 700105 ",700105,8336905044
Loreto Day School," 169, Lenin Sarani Kol-13, Dharmatala, Kolkata, West Bengal 700013 ",700013,3322653845
Radcliffe School,"2/H/9/3, Metropolitan Co-Operative Housing Society Limited, Tangra, Kolkata, West Bengal 700105
",700105,8336905044
St James School,"165, AJC Bose Road, Near Indian Oil Petrol Pump And Diesel, Entally, Kolkata, West Bengal 700014 ",700014,3322841546
Himalaya Public School,"108a/aH, Raja Janna Road, Kulia, Beliaghata, Kolkata, West Bengal 700015",700015,9743904031
Pearl of God," 5/4, Shibtala Lane, Arabinda Pally, Konnagar, Kolkata, West Bengal 712233 ",712233,3326946479
Calcutta Boys School," 72, S N Banerjee Road, Kolkata, West Bengal 700014 ",700014,3322651531
Prince English School," Kustia Road, Near Banrik Rubber Industries Pvt. Ltd., Kustia, Kolkata, West Bengal 700039 ",700039,3323437045
Albany Hall Public School," 47, Gorachand Road, Near Chitranjan Hospital, Kolkata, West Bengal 700014 ",700014,3322446680
St Francis International School,"P-188, Suren Sarkar Road, Near Homeopathic Clinic, Beliaghata, Kolkata, West Bengal 700010 
",700010,3323633015
St Xaviers Collegiate School,"30, Park Street, Kolkata, West Bengal 700016 ",700016,3322551171
St Francis Xavier School,"salt lake city, opposite hyatt regency",,3323350584
Sanat Roy Chowdhury Institution," 12/3, Gobinda Khatik Road, Topsia, Kolkata, West Bengal 700046 ",700046,3323296191
Calcutta International School,"724, anandapur West Bengal",,
Gurukul School,"Jadulal Mullick Road, Near Joy Mathadi Travels, Jorabagan, Kolkata, West Bengal 700006 ",700006,3322708965
Kendriya Vidyalaya No 1," E B Block Sector-1 Salt Lake, Kolkata, West Bengal 700064 ",700064,3323212767
