Company Name,Profile Heading,About Company,Email,Contact,Toll free number,Main Address, Address Pin code,Adress URL,Company registration Number
Frank Anthony Public school,Frank Anthony Public School,,,3322848038,," 171, AJC Bose Road, Beniapukur, Kolkata, West Bengal 700014 
",700014,,
Don Bosco School,Don Bosco School,,,3322879202,," 23, Darga Road, Park Circus, Kolkata, West Bengal 700017 ",700017,,
Army Public School,Army Public School,,,3324866629,," Ballygunge Maidan Camp, Ballygunge Circular Road, Kolkata, West Bengal 700019 
",700019,,
Hindu School,Hindu School,,,3322412987,," 1-B, Bankim Chatterjee Street, Kolkata, West Bengal 700073 ",70073,,
Shri Shikshayatan School,Shri Shikshayatan School,,,8336905044,,"2/H/9/3, Metropolitan Co-Operative Housing Society Limited, Tangra, Kolkata, West Bengal 700105 ",700105,,
Loreto Day School,Loreto Day School,,,3322653845,," 169, Lenin Sarani Kol-13, Dharmatala, Kolkata, West Bengal 700013 ",700013,,
Radcliffe School,Radcliffe School,,,8336905044,,"2/H/9/3, Metropolitan Co-Operative Housing Society Limited, Tangra, Kolkata, West Bengal 700105
",700105,,
St James School,St James School,,,3322841546,,"165, AJC Bose Road, Near Indian Oil Petrol Pump And Diesel, Entally, Kolkata, West Bengal 700014 ",700014,,
Himalaya Public School,Himalaya Public School,,,9743904031,,"108a/aH, Raja Janna Road, Kulia, Beliaghata, Kolkata, West Bengal 700015",700015,,
Pearl of God,Pearl Of God,,,3326946479,," 5/4, Shibtala Lane, Arabinda Pally, Konnagar, Kolkata, West Bengal 712233 ",712233,,
Calcutta Boys School,Calcutta Boys School,,,3322651531,," 72, S N Banerjee Road, Kolkata, West Bengal 700014 ",700014,,
Prince English School,Prince English School,,,3323437045,," Kustia Road, Near Banrik Rubber Industries Pvt. Ltd., Kustia, Kolkata, West Bengal 700039 ",700039,,
Albany Hall Public School,Albany Hall Public School,,,3322446680,," 47, Gorachand Road, Near Chitranjan Hospital, Kolkata, West Bengal 700014 ",700014,,
St Francis International School,St Francis International School,,,3323633015,,"P-188, Suren Sarkar Road, Near Homeopathic Clinic, Beliaghata, Kolkata, West Bengal 700010 
",700010,,
St Xaviers Collegiate School,St Xaviers Collegiate School,,,3322551171,,"30, Park Street, Kolkata, West Bengal 700016 ",700016,,
St Francis Xavier School,St Francis Xavier School,,,3323350584,,"salt lake city, opposite hyatt regency",,,
Sanat Roy Chowdhury Institution,Sanat Roy Chowdhury Institution,,,3323296191,," 12/3, Gobinda Khatik Road, Topsia, Kolkata, West Bengal 700046 ",700046,,
Calcutta International School,Calcutta International School,,,,,"724, anandapur West Bengal",,,
Gurukul School,Gurukul School,,,3322708965,,"Jadulal Mullick Road, Near Joy Mathadi Travels, Jorabagan, Kolkata, West Bengal 700006 ",700006,,
Kendriya Vidyalaya No 1,Kendriya Vidyalaya No 1,,,3323212767,," E B Block Sector-1 Salt Lake, Kolkata, West Bengal 700064 ",700064,,
Grace Ling Liang English School,Grace Ling Liang English School,,,3323290219,,"21B, Gobinda Khatick Road, Near Vision Eye Clinic, Topsia, Kolkata, West Bengal 700046 ",700046,,
Delhi Public School,Delhi Public School,,,3324418200,," 254, Nascar Hat Road, Near Andhra Bank, Haltu, Kolkata, West Bengal 700107 ",700107,,
Ideal Mission School,Ideal Mission School,,,3324383902,,"42/1A, Topsia Rd, Picnic Garden, Topsia, Kolkata, West Bengal ",,,
Ware Public School,Ware Public School,,,,,"Bondel Road, Near Tabrej Mobile Center, Picnic Garden, Tiljala, Kolkata, West Bengal 700039 ",700039,,
Ashoke Hall Girls Higher Secondary School,Ashoke Hall Girls Higher Secondary School,,,3322871278,," 6, Palm Avenue, Ballygunge Gardens, Kolkata, West Bengal 700019 ",700019,,
St Ravidas High School,St Ravidas High School,,,3323283779,,"7, South Ta+B28ngra Road, Dhapa, Kolkata, West Bengal 700046 ",700046,,
Salt Lake Shiksha Niketan,Salt Lake Shiksha Niketan,,,3323672222,," Nyayapathi Main Road, Near Shivala Maa Kali Temple, Bidhan Nagar, Kolkata, West Bengal 700135 ",700135,,
Noor International School,Noor International School,,,9883798310,,"14 B, Topsia 2Nd Lane, Kolkata, West Bengal 700039 ",700039,,
St Joseph's English School,St Joseph's English School,,,,,"Ghosh Lane, Near Sabzi Mandi, Picnic Garden, Tiljala, Kolkata, West Bengal 700039 
",700039,,
Mahadevi Birla Shishu Vihar,Mahadevi Birla Shishu Vihar,,,3322832375,,"4, Inron Side Rd, Ballygunge, Kolkata, West Bengal 700019 ",700019,,
Mother International School,Mother International School,,,3323585299,,"CL-25-26, 2nd Avenue, Sector 2, Salt Lake City, Rajarhat, West Bengal 700091 ",700091,,
Kidzee,Kidzee,,,9903091803,," 37a/a1, Rash Behari Avenue, Bosepukur, Kasba, Kolkata, West Bengal 700042 ",700042,,
The Children S Academy,The Children S Academy,,,3324401581,,"North Topsia Road, Topsia, Kolkata, West Bengal 700046 ",700046,,
Nava Nalanda High School,Nava Nalanda High School,,,3324663711,," Shyama Prasad Mukherjee Road, Near Nakuleshar Mandir, Kalighat, Kolkata, West Bengal 700026 ",700026,,
Bidhannagar Municipal School,Bidhannagar Municipal School,,,3323214161,,"175, Block FE Road, Sector 3, Salt Lake City, Kolkata, West Bengal 700027 
",700027,,
Assembly of God Church,Assembly Of God Church,,,,,"Gurum Basti More, Hill Cart Road, Siliguri, West Bengal 734001",734001,,
Ranidanga darjeeling Public School,Ranidanga Darjeeling Public School,,,9563756319,,"Near Buddha Mandir, Dhansara, Ranidanga, West Bengal ",,,
Narayana School,Narayana School,,,18001023344,,"Kamarbari Road, Behind Tcs Eco Space, New Town, Rajarhat, 24 Parganas, North Kolkata, Kolkata, West Bengal 700135 ",700135,,
St Thomas High School,St Thomas High School,,,9831341220,,"88, Topsia Road, Near Gurucharam Sinha, Topsia, Kolkata, West Bengal 700039 ",700039,,
Modern School Barrackpore,Modern School Barrackpore,,,3325920311,,"57, Park Road, Cantonment, Barrackpore, Near Future Laureates Academy Barrackpore, Kolkata, West Bengal 700120 ",700120,,
Acharya Prafulla Chandra High School,Acharya Prafulla Chandra High School,,,,,"164a6 Prince Anwar Shah Road Lake Gardens, Kolkata, West Bengal 700045",700045,,
The Cambridge School,The Cambridge School,,,8232042019,," Manohar Pukur Road, Near Kalighat Metro Station Gate-4, Kalighat, Kolkata, West Bengal 700026 
",700026,,
Harvard House High School,Harvard House High School,,,3322877223,,"No. 18, South Tangra Rd, Govinda Khatick Road, Kolkata, West Bengal 700046 
",700046,,
Mahavir Institute of education,Mahavir Institute Of Education,,,3322273092,," 17/1, Canal Street, Sealdah, Kolkata, West Bengal 700014 ",700014,,
Sukantanagar Vidyaniketan,Sukantanagar Vidyaniketan,,,3323350294,,"Salt Lake Bypass Road, Near Apollo Pharmacy, Sector 4, Salt Lake City, Kolkata, West Bengal 700105 ",700105,,
Salt Lake St Xaviers point School,Salt Lake St Xaviers Point School,,,3323359108,,"Sector 3 Block GA Road, Near Bidhannagar RMC Office, Block GA, Bidhan Nagar, Kolkata, West Bengal 700097 ",700097,,
Sishu Mahal Girls High School,Sishu Mahal Girls High School,,,3323203611,,"Matilal Basak Garden Lane, Kolkata, West Bengal 700054 
",700054,,
