Company Name,Profile Heading,About Company,Email,Contact,Toll free number,Main Address ,Address pin Code,Address URL,Company Registration Number
Allahabad Bank,Allahabad bank,BFSI,,,180220363,"Bidhan Nagar, Block - 9C, Plot No. 152, Sector - iii, Kolkata, West Bengal",,,
UCO Bank,UCO Bank,BFSI,,,18001030123,"Raj Rajeswari Bhawan, Krishnapur Main Road, Barowaritala, Bagu, Samarpally, Krishnapur, Kestopur, Kolkata, West Bengal 700102",700102,,
HDFC Bank,HDFC Bank,BFSI,,7573919585,,"No 1/1, Private Road, Prafulla Nagar, Dum Dum Road, Kolkata, West Bengal 700074 ",700074,,
Bank Of India,Bank Of India ,BFSI,,,1800220229,"167 & 167c, B B Ganguli Street, Bowbazar, Kolkata, West Bengal 700012 
",700012,,
Axis Bank,Axis Bank,BFSI,,,18002095577,"Acharya Jagadish Chandra Bose Road, Fomra Tower, Maula Ali, Taltala, Near Mercantile Dairy Project Private Limited, Kolkata, West Bengal 700014 ",700014,,
Standard Chartered bank,Standard Chartered Bank,BFSI,,,18003451000,"21 A, R G Kar Road, Shyambazar, Kolkata, West Bengal 700004 ",700004,,
HDFC Bank,HDFC Bank,BFSI,,3361606161,,"H/J 2, Rajarhat Road, Jora Mandir, Baguihati, Kolkata, West Bengal - 700059, Kolkata, West Bengal ",700059,,
IDBI Bank ,IDBI Bank ,BFSI,,,18002001947,"Idbi Bank LTD., Esplanade Branch, Wachen Molla Mansion, GR. FLR, 8 Lenin Sarani, Kolkata, West Bengal 700013 ",700013,,
Allahabad Bank,Allahabad Bank,BFSI,,,1800220363,"264, Nr. Flyover, Dumdum Park, Kolkata, West Bengal 700001 ",700001,,
Canara Bank,Canara Bank,BFSI,,,18004250018,"Rajarhat, Suraj Apartment, Opp:dlf Building, Dhalipara, New Town, Kolkata, West Bengal 700010 ",700010,,
Indian Overseas Bank,Indian Overseas Bank,BFSI,,,18004254445,"Raja Subodh Chandra Mallick Rd, Central Park, Baghajatin Colony, Near Tulip Hall Private School, Kolkata, West Bengal 700032 ",700032,,
Citi Bank,Citi Bank,BFSI,,3322832484,,"Gp Block, Sector V, Salt Lake City, Near Pour House, Rajarhat, West Bengal 700091 ",700091,,
ICICI Bank,ICICI Bank,BFSI,,,18001038181,"BP-4, CN Block Road, Sector 5, Salt Lake City, Rajarhat, West Bengal 700091 ",700091,,
HSBC Bank,HSBC Bank,BFSI,,,18001034722,"31b B D Bag, B B D Bagb B D Bag, Kolkata, West Bengal 700001 ",700001,,
State Bank of India,State Bank of India,BFSI,,3322352891,,"Jbs Haldane Avenue, Near Burhani Masjid, Gobra, Kolkata, West Bengal 700046 ",700046,,
Bandhan Bank,Bandhan Bank,BFSI,,,18002588181,"Sonarpur Station Road, Near TMC Corporate Office, Sonarpur, Kolkata, West Bengal 700150",700150,,
Jammu and Kashmir Bank,Jammu and kashmir Bank,BFSI,,3322485457,,"1, R.N. Mukherjee Road, Lal Bazar, Bow Barracks, Kolkata, West Bengal 700069 ",700069,,
