Company Name,Profile Heading,About Company,Email,Phone,Toll Free Number,Main Address,Address Pin Code,Address URL,Company Registration Number
Oppo,Oppo,"Smart Phones, tablets, audio sound, smart watch, power adapter, cables, smart stylus pen, protective cases, chargers",,,,"Vatika Business Park, 2nd floor, near Block 1, Gurgaon, Sector 49, Sohan Road",122001,https://www.oppo.com/in/,
Samsung,Samsung,"Smart phones, headphones, tablets, laptops, tvs, smart watch, chargers, adapters & cables, protective cases, smart stylus pen, ear buds,  sound devices, refrigerators, laundry, air solutions, cooking appilances, monitors, memory storage",,,,"6th Floor, DLF Center, Sansad Marg, New Delhi ",110001,https://www.samsung.com/in/,
Realme,Realme,"Smart Phones, smart tv, smart tv stick, smart tv bluetooth voice remote, laptop, tablet, audio, smart watch, wireless headphones, bluetooth speaker, wired headphones, beard trimmer, cable wire, electric toothbrush",marketing.in@realme.com,,,"3rd floor, Tower B, Building no 8, DLF Cyber City Gurugram Gurgaon",122002,https://www.realme.com/in/,
Nokia,Nokia,"Smart phones, laptops, tablets, smart tv, streaming devices, set up boxes,  headphones, ear buds, wired buds, speakers, car accessories, adapters, power banks, cables",,,,"Flat no 1213, 12th floor, Kailash building, 26 Kasturba Gandhi Marg, Central Delhi",110001,https://www.nokia.com/,
Apple,Apple,"Mac, ipad, iphone, watch, airpods, smart tv, keyboards, apple pencil, watch accessories, homepod, remote, tv accessories, Music support, air tag, apple books",,,8000401966,"UB City, NO. 24, Vittal Mallay Road, Bangalore",560001,https://www.apple.com/in/,
Huawei,Huawei,"Smart phones, PC, tablets, wearable, audio, router, EMUI, accessories, matebook, matepad, watch",support@huawei.com,,18002096555,"45/4 ETC KNO 1540, Kundalahalli Village, Bengaluru, Karnataka",560066,https://www.huawei.com/en/,
Sony,Sony,"Tvs, home theater & sound bars, projectors, blu ray disc, dvd players, camcorders, action camera, professional camcorders, interchangable lens camera, lenses, compact camera, lens style camera, headphones, mp3 players, wireless speakers, high resolution audio, in car receivers & players, speakers & amplifiers, portable chargers, batteries, memory cards, flash drives & HDD, disc tape media, smart phones, smart devices, cable wires",,,18001037799,"A 18, Mathura Road, Mohan Co Operative Industrial area, near Sarita Vihar Metro Station, Delhi",110044,https://www.sony.co.in/,
LG,LG,"Tvs, life style screens, tv accessories, refrigerators, washing machines, air care, water purifiers, dish washers, vacuum cleaners, styler, microwave ovens, air conditioners, monitors, projectors, computer accessories",b2bsupport.india@lgepartner.com,,18001803575,"Plot no 51, Surajpur, Kasna Road, Udyog Vihar, Greater Noida, U.P.",201306,https://www.lg.com/in,
HTC,HTC,"Smart phones, blockchain phone, vive ",,,,"G 4, Bptp park avenue, sector 30, Gurgaon",122002,https://www.htc.com/in/,
Motorola,Motorola,"Smart phones, tablets, smart tv, audio, refrigerator, washing machies, smart air conditioner, media stick",,,,"66/1, Plot No 5, 1st, 2nd, 3rd & 6th floor, Bagmane Tech park, C.V. Raman Nagar",560093,https://www.motorola.in/,
Lenovo,Lenovo,"Pcs, tablets, smart devices, smart phones, laptops, desktops, work stations, replacement parts",,,,"Level 2, Ferns Icon, Outer Ring Road, Marathhalli Post, Kr Puram Hobli, Doddanekundi Village, Marathahalli, Bangalore",560037,https://www.lenovo.com/in/,
Xiaomi,Xiaomi,"Smart phones, tv, tv accessories, air fryer, smart fan, smart lights, security cameras, air purifier, smart vacuum cleansers, water purifier, tablet, tablet accessories, laptop, laptop accessories, notebook, powerbank & chargers, selfie stick, tooth brush, trimmers, audio & speakers, earbuds, wireless earphones, wired earphones, smart watch, watch accessories",,,,"Block E, Embassy Tech Village Marathahalli Outer Ring Road, Devarabisanahalli, Bengaluru",560103,https://www.mi.com/in/,
Google,Google,"Smart phones, web cam, audio & speakers, case, cam charge cable ",,,,"Block 1, DivyaSree Omega Survey No 13, Kothaguda, Telangana, Hyderabad",500084,https://store.google.com/in/?pli=1&hl=en-GB,
Vivo,Vivo,Smart phones,,,18002083388,"Plot no 54, 3rd floor, Delta Tower, Sector 44, Gurgaon ",122003,https://www.vivo.com/in/,
One Plus,One Plus,"Smart phones, tvs, ear buds, wireless ear phones, wired ear phones, smart watch, tablet, case protection, adapter, charger, c type cables, wireless charger",oplusfinance.india@oneplus.com,,18001028411,"UB City, 24, Vittal Mallya Road, KG Halli, D'souza Layout, Ashok Nagar, Bengaluru",560001,https://www.oneplus.in/,
Redmi,Redmi,"Smart phones, tv, tv accessories, air fryer, smart fan, smart lights, security cameras, air purifier, smart vacuum cleansers, water purifier, tablet, tablet accessories, laptop, laptop accessories, notebook, powerbank & chargers, selfie stick, tooth brush, trimmers, audio & speakers, earbuds, wireless earphones, wired earphones, smart watch, watch accessories",,,,"Block E, Embassy Tech Village Marathahalli Outer Ring Road, Devarabisanahalli, Bengaluru",560103,https://www.mi.com/in/,
Alcatel,Alcatel,"Smart phones, tablets, mobile broadband, wireless earphones",,,,"Plot No. 25, Electronic City, Sector 18, Gurgaon",122015,https://www.alcatelmobile.com/,
Infinix,Infinix,"Smart phones, wireless ear phones, adapter, laptops, tvs",hello@infinixmobility.com,,,"Prathamesh, Co - operative Veer Savarkar Marg Prabhadevi, Mumbai ",400025,https://www.infinixmobility.com/,
Acer,Acer,"Smart phones, laptops, desktops, chrome books, tablets, monitors, projectors, digital signage, smart devices, bluetooth speakers, mouse, mouse pads, gaming controller, ebike, escooters",,8039408700 / 40708700,,"Embassy Heights, 6th floor, No 13, Magrath Road, Bangalore ",560025,https://www.acer.com/in-en,
Asus,Asus,"Smart phones, laptops, desktops, workstations, projectors, mini pcs, monitors, motherboard, gaming case, wifi routers, wireless & wired adapters, headsets & audio, stylus",,,,"17/18, Shah Industrial Estate, Veera Desai Road, Andheri (West), Mumbai ",400053,https://www.asus.com/in/,
Blackberry,Blackberry,"Smart phones, cybersecurity, adapter, case, automotive",legalcorporate@blackberry.com,,,"Unit No. 216, Second Floor, Square One, C-2, District Centre, Saket New Delhi ",110017,https://www.blackberry.com/us/en/products/devices,
