Company Name,Profile Heading,About Company,Email,Phone,Toll Free Number,Main Address,Address Pin Code,Address URL,Company Registration Number
Oppo,Oppo,"Smart Phones, tablets, audio sound, smart watch, power adapter, cables, smart stylus pen, protective cases, chargers",,,,"Gurgaon, Sector 49, Sohan Road",122001,www.oppo.com,
Samsung,Samsung,"Smart phones, headphones, tablets, laptops, tvs, smart watch, refrigerators, cooking appilances",,,,"DLF Center, Sansad Marg, New Delhi ",110001,www.samsung.com,
Realme,Realme,"Smart Phones, smart tv, laptop, tablet, audio, smart watch",marketing.in@realme.com,,,DLF Cyber City Gurugram Gurgaon,122002,www.realme.com,
Nokia,Nokia,"Smart phones, laptops, tablets, smart tv",,,,"Kasturba Gandhi Marg, Central Delhi",110001,www.nokia.com,
Apple,Apple,"Mac, ipad, iphone, watch, airpods, smart tv",,,8000401966," Vittal Mallay Road, Bangalore",560001,www.apple.com,
Huawei,Huawei,"Smart phones, PC, tablets, wearable, audio, router, EMUI, accessories, matebook",support@huawei.com,,18002096555,"Kundalahalli Village, Bengaluru, Karnataka",560066,www.huawei.com,
Sony,Sony,"Tvs, home theater & sound bars, projectors, blu ray disc, dvd players",,,18001037799,"Mathura Road, Mohan Co Operative Industrial area, Delhi",110044,www.sony.co.in,
LG,LG,"Tvs & accessories, refrigerators, washing machines, water purifiers, dish washers, vacuum cleaners, microwave ovens, air conditioners",b2bsupport.india@lgepartner.com,,18001803575,"Udyog Vihar, Greater Noida, U.P.",201306,www.lg.com,
HTC,HTC,"Smart phones, blockchain phone, vive ",,,,"Bptp park avenue, sector 30, Gurgaon",122002,www.htc.com,
Motorola,Motorola,"Smart phones, tablets, smart tv, audio, refrigerator, washing machies, smart air conditioner, media stick",,,,"Bagmane Tech park, C.V. Raman Nagar",560093,www.motorola.in,
Lenovo,Lenovo,"Pcs, tablets, smart devices, smart phones, laptops, desktops",,,,"Doddanekundi Village, Marathahalli, Bangalore",560037,www.lenovo.com,
