Company Name ,Profile Heading,About Company ,Email,Contact,Toll free Number,Main Address,Address Pin Code,Address URL,Company Registration Number,Country,State,City
Physiotherapy And Yoga center,Physiotherapy And Yoga Center,,,,,"Near Telephone Exchange & Icici Bank, Kustia, Near Bandhan Bank Atm",700039,,,India,West Bengal,Kolkata
World Yoga Society,World Yoga Society,"was established in Kolkata, 1986 as a philanthropic organization for the propagation of better health through the knowledge and practice of yoga",,,,"Aa-42, Lal Bazar Street, Sector 1, Bidhan Nagar",700064,,,India,West Bengal,Kolkata
Patanjali Yoga Foundation,Patanjali Yoga Foundation,,,,,"Broadway Road, Near Nilanjan Co Op Society, Block Jc, Salt Lake City",700098,,,India,West Bengal,Kolkata
Healing Tree,Healing Tree,"Our centers are responsible for coordinating Pranic Healing in Odisha (via Rajkot), Pranic Healing in Assam and the North East (via Guwahati)",,,,"P.K. Banerjee Road, Near Bsnl Office, Shibpur",711102,,,India,West Bengal,Kolkata
Yoga Swastha Mandir,Yoga Swastha Mandir,,,,,"38 By 1a, Rajamanidro Road",700037,,,India,West Bengal,Kolkata
Sonali Yoga And Therapy Center,Sonali Yoga And Therapy Center,,,,,16-1-H-31 Biplabi Barin Ghosh Sarani,700067,,,India,West Bengal,Kolkata
Spirtual Yoga Center,Spiritual Yoga Center,,,,,"Ha/aE-19, Kazi Nazrul Islam Avenue, Near Kriya Yoga Center, Jyangra",700059,,,India,West Bengal,Kolkata
Das Physiotherapy And Yoga,Das Physiotherapy And Yoga,,,,,"Near Asha Garden Apartment, Samarpally, Krishnapur, Near The Muffin Man",700101,,,India,West Bengal,Kolkata
Power Yoga,Power yoga,"Qi Gong can be described as a mind-body-spirit practice - it aims to improve one's mental and physical health by integrating posture, movement",,,,"95a/a1A, Rash Behari Avenue, Deshapriya Market, Ballygunge",700029,,,India,West Bengal,Kolkata
JN Yoga Center,JN Yoga Center,,,,,"11, Bidhanpally, Jadavpur",700032,,,India,West Bengal,Kolkata
Sivananda Saraswati Insitute Of Yoga,Sivananda Saraswati Institute of Yoga,We are a professionally managed Institute conducting carrier oriented Yoga certificate and diploma,,,,"Jodhpur Park Road, Jodhpur Park",700045,,,India,West Bengal,Kolkata
Om Yoga Center,Om Yoga Center,,,,,"Motijheel Avenue, Motijheel, Amarpalli, South Dum Dum, Near State Bank Of India",700028,,,India,West Bengal,Kolkata
Sattva Yoga Studio,Sattva Yoga Studio,"Sattva is a centre of authentic yogic learning in the city of Kolkata, India; it preserves the traditional essence of yoga along with all modern facilities . ",,,,249 Jodhpur Park,700068,,,India,West Bengal,Kolkata
Adhyatmas Home Yoga,Addhyatmas Home Yoga,,,,,6 East Road Jadavpur,700032,,,India,West Bengal,Kolkata
Yoga Massage,Yoga Massage,"Ayurvedic Yoga Massage UK - Training and massage sessions in the UK, Netherlands and Greece",,,,"Roy Road, Near Ration Shop, Kustia",700039,,,India,West Bengal,Kolkata
Nature Cure And Yoga,Nature Cure And Yoga,"Nature Cure and Yoga Centre is a retreat for calming, detoxifying, and rejuvenating your overworked body, mind, and spirit.",,,,"Diamond Harbour Road, Near Office Of The Deputy Excise Collector Incharge, Alipur",700053,,,India,West Bengal,Kolkata
Yoga Cure Center,Yoga Cure Center,,,,,"59 B, 2Nd Floor, Chowringhee Road (Near Rabindra Sadan Metro Station), Lala Lajpat Rai Sarani, Near Exide House",700020,,,India,West Bengal,Kolkata
Temple Of Yoga,Temple Of Yoga,,,,,"351-A Jessore Road, Rajarhat",700055,,,India,West Bengal,Kolkata
Try Fit,Try Fit,"Get the best fitness guidance from highly experienced f itness trainers of Kolkata. We offer exclusive classes for Yoga, Zumba, Aerobics, Dance for all",,,,"Eden Shops, 2nd Floor, Street Number 64, Ag Block(Newtown), Action Area I",700156,,,India,West Bengal,Kolkata
Kalna Yoga Training Center,Kalna Yoga Training center,"An Organisation Of Yoga, Social, Cultural and Sports Activities ",,,,"M N K Road, Barrackpur-II",700036,,,India,West Bengal,Kolkata
Parikhit Club Yoga Center,Parikhit Club Yoga center,,,,,1A/H Srinath Mukharjee Lane,700030,,,India,West Bengal,Kolkata
Swati's Yoga And Spa,Swati's Yoga And Spa,,,,,"7B, Motijheel Avenue, Kaikhali",700136,,,India,West Bengal,Kolkata
Yoga Shakti Mission,Yoga Shakti mission,Yoga Shakti Mission is a Yoga studio located in Kolkata .,,,,"11, Gurusaday Dutta Road, Beck Bagan, Ballygunge",700019,,,India,West Bengal,Kolkata
Yoga vidya Pranic Healing,Yoga vidya Pranic Healing,"Our centers are responsible for coordinating Pranic Healing in Odisha (via Rajkot), Pranic Healing in Assam and the North East (via Guwahati)",,,,14 Lansdowne Road,700020,,,India,West Bengal,Kolkata
Sustha Multi gym,Sustha Multi Gym,,,,,"1a/aA, Dum Dum Road, Bahiragath Colony, South Dumdum",700074,,,India,West Bengal,Kolkata
Sky Yoga,Sky Yoga,,,,,E-18/1 Sarsuna Housing Phase 1 Muchipara,700061,,,India,West Bengal,Kolkata
Elevate,Elevate,,,,,"112, Shree Shyam Sadan, Raniganj, Ward NO 34, N.S.B Road West, Raniganj",713358,,,India,West Bengal,Kolkata
Ramkrishna Yoga Kendra,Ramkrishna Yoga Kendra,,,,,"Chaya Neer, Surya Sen Pally Road, Durga Nagar, Bediapara",700077,,,India,West Bengal,Kolkata
