Company Name,Profile Heading,About Company,Email,Contact,Toll Free Number ,Main Address ,Address pin Code,Address URL,Company Registration Number,Country,State,City
SKB Shipping And Logistics Private Limited,SKB Shipping And Logistics Private Limited,,,090077 09439,,"3rd, Bentinck Street, Room NO 304",700001,,,India,West Bengal,Kolkata
Harshit Logistics Private Limited,Harshit Logistics Private limited,,,098303 27614,,"20L, Motilal Basak Motilal Basak",700054,,,India,West Bengal,Kolkata
Bluemoon Logistics Private  Limited,Bluemoon Logistics Private limited,,,088267 97434,,"Hare Street, 3a, 2nd Floor Gpo",700001,,,India,West Bengal,Kolkata
ILS Shipping and Logistics Private Limited,ILS Shipping And Logistics private Limited,,,033 4005 0471,,4 Fairlie Place Hmp House 5th Floor Room No : M501,700001,,,India,West Bengal,Kolkata
EMEE Logistics Private Limited,EMEE Logistics Private Limited,,,098311 31955,,"Lipton, 9 Weston Street",700012,,,India,West Bengal,Kolkata
Shahi Shipping,Shahi Shipping,,,033 2224 2536,,"209, Acharya Jagadish Bose",700017,,,India,West Bengal,Kolkata
ATC Private Limited,ATC Private Limited,,,0731 425 8083,,"Saberwal House, 8th Floor, 55, B Mirza Ghalib Street",700016,,,India,West Bengal,Kolkata
Feedro Shipping And Logistics Private Limited,Feedro Shipping And Logistics Private Limited,,,,,"Flat-337, 3rd-Floor 1 Crooked Lane",700069,,,India,West Bengal,Kolkata
Jayjayem Shipping And Logistics Private Limited,Jayjayem Shipping And Logistics Private Limited,,,098300 77939,,"4b, Roxy Building, Chowringhee Place, Esplanade",700013,,,India,West Bengal,Kolkata
HTL Logistics Private limited,HTL Logistics Private Limited,,,,,"Room No - 116, Ground Floor Park Plaza, 71 Park Street",700016,,,India,West Bengal,Kolkata
PI Shipping And Logistics Limited,PI Shipping And Logistics Limited,,,033 2289 2182,,"1st Floor, Flat No 4 Govind Mahal, Wood Street",700016,,,India,West Bengal,Kolkata
Liyakath Shipping and Logistics,Liyakath Shipping And Logistics,,,,,Netaji Subhas Road,700001,,,India,West Bengal,Kolkata
Imponect Shipping And Logistics,Imponect Shipping And Logistics,,,,,"35 G C Avenue, 2ND Floor",700013,,,India,West Bengal,Kolkata
Seawave Forwarding And logistics,Seawave Forwarding And Logistics,,,033 2243 8872,,"Martin Burn House, 5th Floor, Room No.- 39b, 1, R.n. Mukherjee Road",700001,,,India,West Bengal,Kolkata
Total Logistics private Limited,Total Logistics Private Limited,,,,,"214, 2nd Floor Krishna Building, 224 A J C Bose Road",700017,,,India,West Bengal,Kolkata
Square Circle Shipping And Logistics,Square circle Shipping And Logistics,,,,,3-14 8 Camac Street Shantiniketan,700017,,,India,West Bengal,Kolkata
Atlas Logistics Private Limited,Atlas logistics Private Limited,,,033 2454 2375,,"4a, Gopal Banerjee St",700025,,,India,West Bengal,Kolkata
Mercargo Logistics Private limited,Mercargo logistics Private Limited,,,098314 11148,,"Krishna, 224 A J C Bose Road",700017,,,India,West Bengal,Kolkata
Ocean logistics private limited,Ocean Logistics Private Limited,,,,,"White House, 119, Park Street",700016,,,India,West Bengal,Kolkata
Venkatesh Logistics Private Limited,Venkatesh Logistics Private Limited,,,033 2290 3127,,"9, 3RD Floor Ideal Center, AJC Bose Road",700017,,,India,West Bengal,Kolkata
Austere Logistics Private Limited,Austere Logistics Private Limited,,,084449 91002,,"Krishna Bulding, 224, AJC Bose Road, Room NO. 810, 8TH Floor",700017,,,India,West Bengal,Kolkata
DSV,DSV,,,033 6135 1616,,"505, 510, 511, 5th Flr, Block-B Jindal Towers, 21/1A/3, Darga Road",700017,,,India,West Bengal,Kolkata
Magnum Cargo Forwarders,Magnum Cargo Forwarders,,,033 4008 2242,,"Room NO 205, 21 / 1A / 3 Darga Road
",700017,,,India,West Bengal,Kolkata
Bollore Logistics India Limited,Bollore Logistics India Limited,,,,,"Kankaria Court, 5th Floor, 7, Kyd Street",700016,,,India,West Bengal,Kolkata
Fretex Logistics Solutions Private Limited,Fretex Logistics Solutions Private Limited,,,079083 94845,,"Prasad Square Room No. 408, 4th Floor, 164, A.J.C Bose Road",700014,,,India,West Bengal,Kolkata
Jaguar Shipping And Logistics,Jaguar Shipping And Logistics,,,033 4062 7020,,Lenin Sarani,700013,,,India,West Bengal,Kolkata
Sequel Logistics Private limited,Sequel logistics Private Limited,,,033 2264 7385,,"76 C, Ground Floor, A.j.c Bose Road",700014,,,India,West Bengal,Kolkata
Bilander Logistics Private Limited,Bilander Logistics Private limited,,,033 4603 6371,,"Sharma House, 1-2 Lord Sinha Road",700071,,,India,West Bengal,Kolkata
CITILINE Shipping Agencies,CITILINE Shipping Agencies,,,033 4065 3150,,"Rocks, 9 Crooked Lane",700069,,,India,West Bengal,Kolkata
Akshar Logistics Private Limited,Akshar Logistics Private Limited,,,098360 84888,,"5, 2nd Floor, 5 Grastin Place",700001,,,India,West Bengal,Kolkata
