Company Name,Profile Heading,About Company,Email,Contact,Toll Free Number ,Main Address,Address Pin Code,Address URL,Company Registration Number,Country,State,City
Embellish family Salon And Spa,Embellish Family Salon And Spa,,,,,"514, Kalikapur Road, Haltu, Kolkata - (Nearby HDFC Bank Kalikapur Branch)",700078,,,India,West Bengal,Kolkata
Sun Salon And Beauty Palrour,Sun Salon And Beauty Parlour,,,,,"Kamdebpur Bishnu Market Nh34, National Highway Krishnanagar Road, Krishnanagar, Kolkata (Patdola Basthalay)",700154,,,India,West Bengal,Kolkata
The Blue Barbour,The Blue Barbour,,,,,"Nabapally, Kabi Sukanta Road, Navapally, Kolkata  (Near Barasat)",700126,,,India,West Bengal,Kolkata
Lafemme,Lafemme,,,,,"42, P.o, Ambagan Main Road, Ambagan Main Roadpanchanantala Road, Sukchar",700115,,,India,West Bengal,Kolkata
RK Saloon And Beauty Parlour,RK Saloon And Beauty Parlour,,,,,"18, Bhowanipore, Dhirendranath Ghosh Road",700025,,,India,West Bengal,Kolkata
Aastha Spa,Aastha Spa,,,,,"24 Park Street, Ground Floor, Magma House Complex",700016,,,India,West Bengal,Kolkata
Colours Hair And Beauty,Colours Hair And Beauty,,,,,"8 B, Wood Street Road, Near Erudite Educational Center, Mr Saturday Club",700017,,,India,West Bengal,Kolkata
Freesia Salon And Spa,Freesia Salon And Spa,,,,,8B Dover Road,700019,,,India,West Bengal,Kolkata
Mike Regan Salon,Mike Regan Salon,,,,,"10/3, Chandra Nath Roy Road, Panchanna Pally, Tiljala",700039,,,India,West Bengal,Kolkata
Head Turners,Head Turners,,,,,"3, Gurusaday Dutta Road, Rowland Row, Ballygunge",700019,,,India,West Bengal,Kolkata
Style Check Family Salon,Style Check family Salon,,,,,"61/V, Topsia Rd, Topsia",700039,,,India,West Bengal,Kolkata
Arshi Beauty And Spa,Arshi Beauty And Spa ,,,,,"131/E A.P.C Road Kolkata-700006, Near Karbala Bus Stop (Maniktala)",700006,,,India,West Bengal,Kolkata
Swastika salon,Swastika Salon,,,,,"Tiljala Road, Near Icici Bank, Entally",700014,,,India,West Bengal,Kolkata
Artistry Family Salon,Artistry Family Salon,,,,,"67, Shakespeare Sarani Road, Elgin",700017,,,India,West Bengal,Kolkata
Looks Professional Salon,Looks Professional Salon,,,,,"112, Near St Paul's College",700009,,,India,West Bengal,Kolkata
Elegance Therapeutic,Elegance Therapeutic,,,,,Mithu's SPA,700099,,,India,West Bengal,Kolkata
Sajo Ladies Beauty Parlour,Sajo Ladies Beauty Parlour,,,,,"Kazi Nazrul Islam Avenue, Baguiati",700159,,,India,West Bengal,Kolkata
The Aroma Thai Spa,The Aroma Thai Spa,,,,,"Shop No 259 2Nd Floor, Axis Mall, Newtown Rajarhat, New Town",700156,,,India,West Bengal,Kolkata
Mirror Ladies,Mirror Ladies,,,,,"Purbalok, Kalikapur, Kolkata . Beside Metro Cash N Carry",700099,,,India,West Bengal,Kolkata
Orabelle Salon,Orabelle Salon,,,,,"Shop # 261, Nkda Market, AA1C, Block CB, New Town",700156,,,India,West Bengal,Kolkata
Face To Face Salon,Face To Face Salon,,,,,"Barakhola Mukundapur Main Road, Nitai Nagar, Mukundapur",700099,,,India,West Bengal,Kolkata
Raza Hair Salon,Raza Hair Salon,,,,,"No 50 A, Martinpara Vip Nagar",700100,,,India,West Bengal,Kolkata
Sunflower Ladies Beauty Parlour,Sunflower Ladies Beauty Parlour,,,,,"Kazi Nazrul Islam Avenue, Near Annapurna Restaurant, Baguiati",700159,,,India,West Bengal,Kolkata
Winnie The Beauty Salon,Winnie The Beauty Salon,,,,,"Cl-166, Shiv Bhawan, Cl Block Road, Sector 2, Salt Lake City, Rajarhat",700091,,,India,West Bengal,Kolkata
Dhrubo Salon,Dhrubo Salon,,,,,"407, New Town Action Area I",700156,,,India,West Bengal,Kolkata
