Company Name,Profile Heading,About Company,Email,Contact,Toll Free Number,Main Address,Address Pin Code,Address URL,Company Registration Number,Country,State,City
LEEL,LEEL,,,,,"Plot No 24, Sector -2, I I E, Pantnagar, Udham Singh Nagar",263153,,,India,Uttarakhand,Dehradun
Whirlpool,Whirlpool,,,,,"5, Allenby Road, Paddapukur, Bhowanipur",700020,,,India,West Bengal,Kolkata
Blue Star,Blue Star,,,,,"368, Parnasree Lane, Parnasree, Behala",700060,,,India,West Bengal,Kolkata
Johnson Control,Johnson Control,,,,,"Hi-Tech Chambers, 2nd Floor, Room no. 2C, 84/1b, Topsia Road (South), New Park Circus Connector",700046,,,India,West Bengal,Kolkata
IFB Industries,IFB Industries,,,,,"Goragacha Road, Near Punjab National Bank, Block C, New Alipur",700053,,,India,West Bengal,Kolkata
Symphony,Symphony,,,,,"B-68-69, New Market",700087,,,India,West Bengal,Kolkata
Adani Copper Tubes Limited,Adani Copper Tubes Limited,,,,,,,,,India,,
LG Electronics India Private Limited,LG Electronics India Private Limited,,,,,"Plot NO 62 Block DN, 7TH Floor Tower-II, Millennium Infotech, City, Sector V Bidhan Nagar, Salt Lake",700091,,,India,West Bengal,Kolkata
Starion India Pvt Ltd,Starion India Pvt Ltd,,,,,"Plot No 11, Gautam Buddha Nagar",201306,,,India,Uttar Pradesh,Lucknow
Kaynes Technology Pvt Ltd,Kaynes Technology Pvt Ltd,,,,,"Plot No : 58, Sector 6, Imt Manesar",122050,,,India,Haryana,Gurugram
Mitsubishi Electronics India,Mitsubishi Electronics India,,,,,Salt Lake Bypass,700091,,,India,West Bengal,Kolkata
Swaminathan Enterprises Pvt Ltd,Swaminathan Enterprises Pvt Ltd,,,,,"143, Pudupakkam Village, Vandailur-Kelambakkam Road, Kancheepuram District, Kelambakkam",,,,India,Tamil Nadu,Kancheepuram
Jindal Polyfims Limited,Jindal Polyfims Limited,,,,,"Plot No. 12, Sector B 1, Local Shopping Complex, Vasant Kunj",110070,,,India,Delhi,Delhi
Sahasra Semiconductors Private Limited,Sahasra Semiconductors Private Limited,,,,,"Plot No 33, Pocket -1 Jasola",110076,,,India,Delhi,Delhi
Konark Fixtures Limited,Konark Fixtures Limited,,,,,"481/3, Nr.Check Post",396210,,,India,Daman,Nani
Wipro Enterprises Private Limited,Wipro Enterprises Private Limited,,,,,3 Theatre Road,700017,,,India,West Bengal,Kolkata
Lumens Aircon Private Limited,Lumens Aircon Private Limited,,,,,5 Whitefield Hoskote Road,560067,,,India,Karnataka,Bangalore
SVN Optoelectronics Pvt Ltd,SVN Optoelectronics Pvt Ltd,,,,,,,,,India,,
Compton Greaves Consumer Electricals Pvt Ltd,Compton Greaves Consumer Electricals Pvt Ltd,,,,,"A-138, Rd Number 12, Vishwakarma Industrial Area",302013,,,India,Rajasthan,Jaipur
Elin Electronics Limited,Elin Electronics Limited,,,,,4771 Brajmohan Marg,110002,,,India,Delhi,Delhi
Esko Casting And Electronics,Esko Casting And Electronics,,,,,"57D, Ramlila Bagan, Satpukur",,,,India,West Bengal,Kolkata
Whirlpool Corporation,Whirlpool Corporation,,,,,"Tapas Villa, Ac Sarkar Road, Near Subarna Bastralaya, Ariadaha",712150,,,India,West Bengal,Kolkata
Samsung,Samsung,,,,,"8, Ghola Rd, East Belgharia, Mandal Para Bat Tala, Belgharia",700083,,,India,West Bengal,Kolkata
Haier,Haier,,,,,"56, Ekdalia Road, Ekdalia, Ballygunge",700019,,,India,West Bengal,Kolkata
Godrej,Godrej,,,,,"Rash Behari Avenue, Near Lolita Ladies Tailors, Dover Terrace, Ballygunge",700029,,,India,West Bengal,Kolkata
Philips,Philips,,,,,"87/E, Avenue",700088,,,India,West Bengal,Kolkata
Bosch,Bosch,,,,,260 Madurdaha Embypass,700107,,,India,West Bengal,Kolkata
Bajaj Electricals,Bajaj Electricals,,,,,"P-141, Kalindi Vatika Market, Block- B, Shop- 25, Lake Town, Kalindi Housing Estate, South Dumdum",700089,,,India,West Bengal,Kolkata
Voltas Ltd,Voltas Ltd,,,,,"GN 11-19, Sector-V, Salt Lake",700091,,,India,West Bengal,Kolkata
Achievex Solutions Private Limited,Achievex Solutions Private Limited,,,,,"3rd Floor, Asyst Park, 37/1, GN Block Sector V, Bidhannagar",,,,India,West Bengal,Kolkata
