Company Name,Profile Heading,About Company,Email,Contact,Toll Free Number,Main Address,Address Pin Code,Address URL,Company Registration Number,Country,State,City
The Lalit Great Eastern Kolkata,The Lalit Great Eastern Kolkata,,,,,"Dalhousie Square, 1, 2, 3 Old Court House Street",700069,,,India,West Bengal,kolkata
The Peerless INN,The Peerless INN,,,,,"12, J.L. Nehru Road, New Market Area, Dharmatala",700013,,,India,West Bengal,kolkata
ITC Sonar,ITC Sonar,,,,,Jbs Haldane Avenue,700046,,,India,West Bengal,kolkata
Golden tulip,Golden tulip,,,,,"C 113 Dc Block, City Centre, Sector 1, Salt Lake City",700106,,,India,West Bengal,kolkata
Novotel Kolkata,Novotel Kolkata,,,,,"Cf 11 Action Area 1C, New Town Rajarhat",700156,,,India,West Bengal,kolkata
The Pride Plaza,The Pride Plaza,,,,,"Village Jatragachi Road, Near Axis Mall, Action Area 1B",700135,,,India,West Bengal,kolkata
Holiday INN,Holiday INN,,,,,"Biswa Bangla Sarani, Rajarhat, Near City Centre 2",700136,,,India,West Bengal,kolkata
Hyatt Regency,Hyatt Regency,,,,,Ja-1 Sector Iii Salt Lake City,700106,,,India,West Bengal,kolkata
The Westin Kolkata,The Westin Kolkata,,,,,"Plot No. Cbd/2, Action Area - Ii, New Town, Rajarhat",700156,,,India,West Bengal,kolkata
JW Marriott Hotel,JW Marriott Hotel,,,,,"4A, J.B.S. Haldane Avenue",700105,,,India,West Bengal,kolkata
The Lindsay,The Lindsay,,,,,"Neli Sengupta Sarani, 9, Lindsay Street, Fire Brigade Head Quarter, New Market Area, Dharmatala, Taltala",700087,,,India,West Bengal,kolkata
Hotel Monotel,Hotel Monotel,,,,,"2, Dm Block, Sector V, Bidhannagar, Rajarhat",700091,,,India,West Bengal,kolkata
Tatvam Residency,Tatvam Residency,,,,,"171/1/M, Picnic Garden Road, Bidhan Nagar, Kasba",700039,,,India,West Bengal,kolkata
Sapphire Suites,Sapphire Suites,,,,,"Lindsay Street, Near Domino's Pizza, Taltala",700087,,,India,West Bengal,kolkata
The Senator Hotel,The Senator Hotel,,,,,"Lindsay Street, Near Domino's Pizza, Taltala",700087,,,India,West Bengal,kolkata
The Corporate,The Corporate,,,,,"Elliot Road, Near Lazzat Restaurant, Park Street",700016,,,India,West Bengal,kolkata
ibis Kolkata,ibis Kolkata,,,,,"Cf 12 Action Area 1C, New Town, Rajarhat",700156,,,India,West Bengal,kolkata
Fairfield By Marriott Kolkata,Fairfield By Marriott Kolkata,,,,,"Cb 218, Action Area 1C, New Town",700156,,,India,West Bengal,kolkata
Howard Johnson,Howard Johnson,,,,,"New Town Square, Rajarhat",700136,,,India,West Bengal,kolkata
The Fern Residency,The Fern Residency,,,,,"Bmc-As/213/08, Block B, 2Nd & 5Th Floor, As/213, 204, Main Arterial Road Noapara, Hatiara, Opposite City Centre 2",700157,,,India,West Bengal,kolkata
Fortune Park Panchwati,Fortune Park Panchwati,,,,,"National Highway-117, Near SSC Training Center BK Girls College, Kamrangu, Bankra",711109,,,India,West Bengal,kolkata
