Company Name,Profile Heading,About Company,Email,Phone,Toll Free Number,Main Address,Address Pin Code,Address URL,Company Registration Number,Country,State,City
Flipkart,Flipkart,"Grocery, fashion & accessories, mobile & electronics, home & furniture, beauty, books, home décor, music instuments, gaming accessories, pets grooming, kitchen appliances",cs@flipkart.com,4445614700,18002089898,Devarabeesanahalli Village,560103,www.flipkart.com,,India,Karnataka,Bengaluru
Amazon,Amazon,"Grocery, fashion & accessories, mobile & electronics, home & furniture, beauty, books, home décor, music instuments, gaming accessories, pets grooming, kitchen appliances",cs-reply@amazon.in,8041970000,2230430101,,560052,www.amazon.in,,India,Karnataka,Bangalore
Myntra,Myntra,"Fashion & accessories, sports & active wear, electronic gadgets, furniture, home décor, gift cards, foot wear, ",sales@myntra.com / support@myntra.com,8061561999,,Varthur Hobli,560103,www.myntra.com,,India,Karnataka,Bengaluru
Ajio,Ajio,"Fashion & accessories, bags, home décor, gardening store, kitchen appliances",customercare@ajio.com ,,18008899991,"Kavarana Building, Kalbadevi",400002,www.ajio.com,,India,Maharashtra,Mumbai
Nykaa,Nykaa,"Cosmetics, skin & hair care, bath & body essentials, health & wellness essentials, fragrance",support@nykaa.com,9222201010,,Vasan Udyog Bhavan,400013,www.nykaa.com,,India,Maharashtra,Mumbai
Nykaa Fashion,Nykaa Fashion,"Garden essentials, men & woman fashion, home décor, kitchen & dining essentials, bath supplies, bedding, electronic supplies",support@nykaafashion.com,,18002663333,Vasan Udyog Bhavan,400013,www.nykaafashion.com,,India,Maharashtra,Mumbai
Nykaa Man,Nykaa Man,"Gadgets, fashion & lifestyle, skin care, fragrance, hair care, bath & body, shaving & beard care, health & nutrition, sports  & fitness, footwear, watch, bags",support@nykaafashion.com,,18002663333,Vasan Udyog Bhavan,400013,www.nykaaman.com,,India,Maharashtra,Mumbai
Meesho,Meesho,"Men & woman fashion, home & kitchen supplies, beauty & health essentials, jewellery & accessories, bags & footwear, electronic, pet grooming",query@meesho.com / help@meesho.com  ,,,Varthur Hobli,560103,www.meesho.com,,India,Karnataka,Bengaluru
H & M,H & M,"Men & woman fashion, kids fashion, home décor, footwear",customerservice.in@hm.com,,8000501633,Okhla Industrial Estate,110020,www2.hm.com,,India,Delhi,Delhi
Shoppers Stop,Shoppers Stop,"Men & woman fashion, footwear, beauty products, skin & hair products, watch, home décor, kitchen & dining essentials, gifts, bags",customercare@shoppersstop.com,2261290400,18004196648,Malad West,400064,www.shoppersstop.com,,India,Maharashtra,Mumbai
Snapdeal,Snapdeal,"Men & woman fashion, footwear, kitchen & home appliances, skin & hair products, beauty & health essentials, bags, electronics, sports, books, mobile & accessories",help@snapdeal.com,,1145371100,,122002,www.snapdeal.com,,India,Haryana,Gurgaon
Limeroad,Limeroad,"Men & woman fashion, footwear, home décor, bags, fragrance, beauty & personal care, kitchen & household appliances, furnishing",hr@limeroad.com,,1246683700,,122001,www.limeroad.com,,India,Haryana,Gurgaon
Purplle,Purplle,"Beauty products & tools, skin & hair care, bath & body, fragrance, health & wellness, baby care, electronics",customercare@purplle.com,9223300222,,Jhalawar Building,400086,www.purplle.com,,India,Maharashtra,Mumbai
MyGlamm,MyGlamm,"Beauty products & tools,  skin & hair care, bath & body, sanitizing care",hello@myglamm.com,,80030004526,"N M Joshi Marg, Lower Pare",,www.myglamm.com,,India,Maharashtra,Mumbai
Shyaway,Shyaway,Woman fashion,contact@shyaway.com,,,,600095,www.shyaway.com,,India,Tamil Nadu,Chennai
Zivame,Zivame,"Woman fashion, beauty products, ",customercare@zivame.com /  feedback@zivame.com,,08214232000 / 08216600100,Dhobi Talao,400002,www.zivame.com,,India,Maharashtra,Mumbai
Bewakoof,Bewakoof,"Men & woman fashion, footwear, mobile covers, backpacks, caps, masks",care@bewakoof.com,,,Andheri (East) ,400076,www.bewakoof.com,,India,Maharashtra,Mumbai
Shopclues,Shopclues,"Mobile & other electronics, men & woman fashion, footwear, skin & hair care, beauty & fragrance, home & kitchen appliances, sports, food & beverages, pet supplies",info@shopclues.com,,1244414888,"14th floor, Tower B, Unitech Cyber Park, Sector 39",122003,www.shopclues.com,,India,Haryana,Gurgaon
eBay,eBay,"Electronics, man & woman fashion, footwear, sports, health & beauty, industraila equipments, home & garden, watch, comic collections",customercareinfo.in,(22) 6690000,1800220288 / 18002093229,Kanjur Marg (West),400086,www.ebay.in,,India,Maharashtra,Mumbai
Lifestyle,Lifestyle,"Man & woman fashion, footwear, bags, furnishing, home décor, beauty, bath & laundry, tableware, watch & sunglasses",help@lifestylestores.com,,18001231555,"77 Town Centre, Yamlur",560037,www.lifestores.com,,India,Karnataka,Bangalore
JioMart,JioMart,"Grocery, electronics, fashion, beauty, home & kitchen, fruits, books, furniture, personal care, baby care, packed food, pet food",cs@jiomart.com,7000370003,18008901222,"Dhobi,Talao",400002,www.jiomart.com,,India,Maharashtra,Mumbai
Beyoung,Beyoung,Man & woman fashion,support@beyoung.in / info@beyoung.in,,,Eklingpura Chouraha,313002,www.beyoung.in,,India,Rajasthan,Udaipur
Smytten,Smytten,"Beauty & grooming, beauty products, fragrances, food & beverages, accessories, health & wellness, home essentials, mom & baby care, audio & tech accessories",care@smytten.com,,1244005922,"Akashneem Marg, DLF Phase -II",122002,www.smytten.com,,India,Haryana,Gurgaon
Olx,Olx,"Cars, motocycles, mobile phones, house & appartments, shoes, fashion, watch, home décor, kitchen supply, electronics, furniture, books, pets, services",support@olx.in,8928227717,18005724700,"DLF Corporate Park, phase III",122002,www.olx.in,,India,Haryana,Gurgaon
Nike,Nike,"Footwear, man & woman fashion, spot equipments, bags, socks, hats & headwear",legal.india@nike.com,,8009190566,C V Raman Nagar,560093,www.nike.com,,India,Karnataka,Bengaluru
