Company Name,Profile Heading,About Company,Email,Contact,Toll Free Number,Main Address,Address Pin Code,Address URL,Company Registration Number,Country,State,City
Godrej Interio,,,,,,"Near Hdfc Bank, Radha Bazar Street, Chitpur, Bbd Bagh",700001,,,India,West Bengal,Kolkata
Streelux Furniture,,,,,,"Bentinck Street, Near Oriental Bank Of Commerce, Poddar Court, Tiretti",700001,,,India,West Bengal,Kolkata
Decofur,,,,,,"227/2, A.J.C. Bose Road, Opp. Minto Park",700020,,,India,West Bengal,Kolkata
National Furniture,,,,,,"50, Radha Bazar Lane, Kolkata, West Bengal 700001",700001,,,India,West Bengal,Kolkata
Wooden Street furniture store,,,,,,"Bhakta Tower, KB-22, Sector III, Salt Lake",700098,,,India,West Bengal,Kolkata
Bharat Steel Furniture,,,,,,"22 B, Tiretta Market, Shop No G 53, Rabindra Sarani, Chittaranjan Avenue",700073,,,India,West Bengal,Kolkata
Popular Furnishing Co.,,,,,,29-1 Rafi Ahmed Kidwai Road,700016,,,India,West Bengal,Kolkata
Goodwill Furniture,,,,,,"50, Radha Bazar Lane",700001,,,India,West Bengal,Kolkata
Mahato Furniture,,,,,,"15, New CIT Road, Terita Bazar, Tiretti",700031,,,India,West Bengal,Kolkata
Zuari Furniture,,,,,,"26, Maniktala Main Road",700054,,,India,West Bengal,Kolkata
Style Spa Furniture,,,,,,"Cit Road, Ultadanga, Bidhan Nagar",700054,,,India,West Bengal,Kolkata
Raj Furniture,,,,,,"16, B B Ganguly Street, Bowbazar",700012,,,India,West Bengal,Kolkata
Gosai Furniture,,,,,,"52, Indra Zore, Ashutosh Mukherjee Road, Paddapukur, Bhowanipur",700025,,,India,West Bengal,Kolkata
Sri Guru Furniture,,,,,,"156, Bepin Behari Ganguly Street, Sealdah",700012,,,India,West Bengal,Kolkata
Studio Pepperfry,,,,,,"Millennium City IT Park, DN Block, Salt Lake City, Sector 5",700091,,,India,West Bengal,Kolkata
Kolkata big Furniture,,,,,,"11/1 Topsia Road, South Kolkata, Near Shimla Biryani, West Bengal India",700046,,,India,West Bengal,Kolkata
Mahamaya Furniture,,,,,,"60, Nh 14, Raniganj, West Bengal 713383, India, Raniganj",713383,,,India,West Bengal,Kolkata
Sharma Furniture,,,,,,"125/1A, Beliaghata Main Road, Kulia, Beliaghata",700010,,,India,West Bengal,Kolkata
Saraswati Furniture,,,,,,"Beliaghata Main Road, Rashmoni Bazar, Beliaghata",700010,,,India,West Bengal,Kolkata
Damro,,,,,,"P 19/1, C I T Road",700054,,,India,West Bengal,Kolkata
Maity Furniture,,,,,,"Sector-1, Ea Block, 115, Dutabad Road, Sector 1, Bidhannagar, Near Mamoni Medical Hall",700064,,,India,West Bengal,Kolkata
Durian,,,,,,"The Meridian, 2Nd Floor, Vip Road, Raghunathpur, Po Desbandhu Nagar, Opposite Of Baguihati Big Bazar",700059,,,India,West Bengal,Kolkata
Poj Furniture,,,,,,"AA/44, 3rd & 6th Floor, Shree Tower, Above M Bazar, VIP Road, Raghunathpur",700059,,,India,West Bengal,Kolkata
Jana Furniture,,,,,,"Rr 12C, Tarulia Punarbasan, Newtown16 Feet, Ghoshpara, Krishnapur",700102,,,India,West Bengal,Kolkata
Biswanath Furniture,,,,,,"3T/1, Dr. Suresh Chandra Banerjee Road, Beliaghata",700010,,,India,West Bengal,Kolkata
Midday furniture,,,,,,"Stall-71, CK Market, CK Block Road, Sector 2, Salt Lake City, Rajarhat",700091,,,India,West Bengal,Kolkata
Jagsons Furniture,,,,,,Bd 175,700064,,,India,West Bengal,Kolkata
Mukul Raj furniture,,,,,,"Chaulpatty Road, Near Joramandir, Kulia, Beliaghata",700015,,,India,West Bengal,Kolkata
Bosky furniture,,,,,,"Street No 238, Rajarhat",700156,,,India,West Bengal,Kolkata
Furnest Seatings,,,,,,"Aa- 44, 2Nd Floor, Vip Road, Baguihati, Above M Bazar And Kfc, Beside Big Bazar",700059,,,India,West Bengal,Kolkata
Uttam Furniture,,,,,,"Thakdari Road, Kestopur",700102,,,India,West Bengal,Kolkata
Biswarup Furniture,,,,,,"Ff-7/1, Hatiara Road, P.O. Jyangra",700059,,,India,West Bengal,Kolkata
Furniture junction,,,,,,"Raa 44 Raghunathpur Baguihati 4Th Floor, Desh Bandhu Nagar, Baguiati",700059,,,India,West Bengal,Kolkata
Ganapati Furniture,,,,,,"Loknath Apartment, VIP Road, Teghoria, Teghoria",700059,,,India,West Bengal,Kolkata
The Progressive Furniture,,,,,,"117, Anupama Housing Phase-2, V.I.P. Road, Mondal Ganthi, Kaikhali",700157,,,India,West Bengal,Kolkata
Mistairy Furniture,,,,,,"Ghosh Para Road, Near Shiva Temple, Ghoshpara, Kestopur",700102,,,India,West Bengal,Kolkata
Bapi Shantu Furniture,,,,,,"2, Rajarhat Road, Noapara, Teghoria",700059,,,India,West Bengal,Kolkata
Rani Furniture,,,,,,"BG-5, Mandar Apartments, Hatiara Road, Jyangra, Rajarhat",700059,,,India,West Bengal,Kolkata
Mandal Furniture,,,,,,"Baguiati Main Road, Near Deshbandhu Nagar Post Office, Deshbandhu Nagar, Baguiati",700159,,,India,West Bengal,Kolkata
Mahaprabhu Furniture,,,,,,"Hatiara Road, Near Dhandevi Lottery Center, Ashwini Nagar",700159,,,India,West Bengal,Kolkata
Home Square Furniture,,,,,,"AAa/a45, N.P.T Apartments, VIP Road, Baguiati",700059,,,India,West Bengal,Kolkata
Job Furniture,,,,,,"VIP Road, Raghunathpur, Baguiati",700059,,,India,West Bengal,Kolkata
Jashoda Furniture,,,,,,"Near Ration Shop, Gopal Lal Tagore Rd, Deshbandhu Rd, East, Bonhoogly",700074,,,India,West Bengal,Kolkata
Manoj Furniture,,,,,,"Kazi Nazrul Islam Avenue, Rajarhat",700052,,,India,West Bengal,Kolkata
LN Furniture,,,,,,"Nagendra Nath Road, South Dumdum",700059,,,India,West Bengal,Kolkata
Sabita Steel Furnitures,,,,,,"Jhawtala Road, Near Hanuman Temple, Noapara, Sukanta Pally",700157,,,India,West Bengal,Kolkata
Durga Furniture,,,,,,"Thakdari Road, Main Road, Mission Bazar, Krishnapur, Kestopur",700102,,,India,West Bengal,Kolkata
Debaki furniture,,,,,,"RGM, North 24 Parganas, Hatiara Road, North 24 Parganas",700157,,,India,West Bengal,Kolkata
Lokenath furniture,,,,,,"Adarsh Pally Gourangaa Road, Near Jagatpur Shiv Mandir, Udayan Pally",700159,,,India,West Bengal,Kolkata
JM Furniture,,,,,,"BG-a30, Kestopur Main Road, Gauranganagar, Kestopur",743252,,,India,West Bengal,Kolkata
Arjun Furniture,,,,,,"3, Classic Apartment, Hatiara, Rajarhat, Kolkata, North 24 Parganas",700135,,,India,West Bengal,Kolkata
City Furniture,,,,,,"Opposite To Kumor Para Post Office, Dum Dum",700028,,,India,West Bengal,Kolkata
Babusona Furniture,,,,,,"Rajarhat Road, Near Atghara Petrol Pump, Teghoria",700052,,,India,West Bengal,Kolkata
Dreams Furniture,,,,,,"New Barrackpur Station Road, Near Saraswati Apartments, Chandra Pally, New Barrackpur",700131,,,India,West Bengal,Kolkata
Kamala Furniture,,,,,,"2, M B Road, Near Siddeswari Kali Bari School, Birati",700051,,,India,West Bengal,Kolkata
Saniya Furniture,,,,,,"Chhapna Panchayat Road, Indian Oil, New Town Action Area I",700135,,,India,West Bengal,Kolkata
Guha Furniture,,,,,,"5, Khalisa Kota Pally, Birati",700051,,,India,West Bengal,Kolkata
Rataner Furniture,,,,,,"Sodpur Barasat Road, Madhyamgram, Bireshpally",700129,,,India,West Bengal,Kolkata
