Company Name,Profile Heading,About Company,Email,Contact,Toll Free Number,Main Address,Address Pin Code,Address URL,Company Registration Number,Country,State,City
Ranjit Mondal And Associates Law Firm,Ranjit Mondal And Associates Law Firm,,,,,"AD-107/1, Krishnapur, P. O, Samar Dey Sarani, Baguiati",700102,,,India,West Bengal,Kolkata
Astha Legal Consultant,Astha Legal Consultant,,,,,"1 Jessore Road, South Dum-Dum",700074,,,India,West Bengal,Kolkata
Agarwal Legal Services,Agarwal Legal Services,,,,,75/C Mullick Colony Baranagar Opposite Football Ground B T Road,700036,,,India,West Bengal,Kolkata
Vidhikarya Legal Services,Vidhikarya Legal Services,,,,,"Terminus Building, 529, 5th Floor, Action Area 1, New Town, North 24 Parganas",700156,,,India,West Bengal,Kolkata
AGMC Legal Services,AGMC Legal Services,,,,,"Ground Floor Flat D, 107 OLD 85 R N Guha Road",700028,,,India,West Bengal,Kolkata
Online Legal India,Online Legal India,,,,,"Kariwala Towers, 8th Floor, J1-5, EP Block, Salt Lake Sec-V",700091,,,India,West Bengal,Kolkata
Agama Law associates,Agama Law associates,,,,,"1301, 13TH FLOOR, LODHA SUPREMUS, OPP. MTNL OFFICE SAKI VIHAR ROAD POWAI",400072,,,India,Maharasthra,Mumbai
Agarwal Law Associates,Agarwal Law Associates,,,,,19 BABAR ROAD BENGALI MARKET,110001,,,India,New Delhi,New Delhi
Agrud Partners,Agrud Partners,,,,,"13, NARIMAN BHAVAN, NARIMAN POINT",400021,,,India,Maharasthra,Mumbai
Ahlawat Associates,Ahlawat Associates,,,,,"OKHLA PHASE III, OKHLA INDUSTRIAL ESTATE",110020,,,India,New Delhi,New Delhi
AK And Partners,AK And Partners,,,,,"C-18, THIRD FLOOR, C BLOCK MARKET VASANT VIHAR",110057,,,India,New Delhi,New Delhi
ALMT Legal,ALMT Legal,,,,,"215 FREE PRESS JOURNAL MARG, NARIMAN POINT",400021,,,India,Maharasthra,Mumbai
Amicus,Amicus,,,,,"258, 3RD & 4TH FLOOR OKHLA INDUSTRIAL ESTATE PHASE III ",110020,,,India,Uttar Pradesh,Okhla
Anant Law,Anant Law,,,,,A-2/2 VASANT VIHAR ,110057,,,India,New Delhi,New Delhi
ANB Legal,ANB Legal,,,,,"DBS HERITAGE HOUSE PRESCOTT LANE, FORT ",400001,,,India,Maharasthra,Mumbai
Anhad Law,Anhad Law,,,,,"E-38 GREATER KAILASH PART - I LOWER GROUND FLOOR, OPP. INDUS BIZNOTEL ",110048,,,India,New Delhi,New Delhi
AP And Partners,AP And Partners,,,,,"E-14/3, VASANT VIHAR ",110057,,,India,New Delhi,New Delhi
Archeus Law,Archeus Law,,,,,SUITES 921-923 DLF TOWER B,110025,,,India,New Delhi,New Delhi
Angus Partners,Angus Partners,,,,,9 – 10 BAHADUR SHAH ZAFAR MARG ,110002,,,India,New Delhi,New Delhi
Ashlar Law,Ashlar Law,,,,,"209, REWA CHAMBERS 31 NEW MARINE LINES ",400020,,,India,Maharasthra,Mumbai
ASP Advocates,ASP Advocates,,,,,"C-530, DEFENCE COLONY",110024,,,India,New Delhi,New Delhi
Atlas Law Partners,Atlas Law Partners,,,,,"250, OKHLA INDUSTRIAL ESTATE PHASE 3 RD",110020,,,India,New Delhi,New Delhi
AZB And Partners,AZB And Partners,,,,,"AZB HOUSE, PENINSULA CORPORATE PARK GANPATRAO KADAM MARG, LOWER PAREL",400013,,,India,Maharasthra,Mumbai
Beruar And Beruar,Beruar And Beruar,,,,,D-155 THIRD FLOOR DEFENSE COLONY ,110024,,,India,Uttarakhand,Dehra Dun
Bharucha And Partners,Bharucha And Partners,,,,,"FREE PRESS JOURNAL MARG, NARIMAN POINT ",400021,,,India,Maharasthra,Mumbai
Brus Chambers,Brus Chambers,,,,,"8 RAJABAHADUR MANSION 3RD FLOOR, AMBALAL DOSHI MARG, FORT ",400001,,,India,Maharasthra,Mumbai
BTG Legal,BTG Legal,,,,,"2ND FLOOR, HAGUE BUILDING, SS RAM GULAM MARG, BALLARD ESTATE",400001,,,India,Maharasthra,Mumbai
Charter Law Chambers,Charter Law Chambers,,,,,"D-389, BLOCK D, DEFENCE COLONY",110049,,,India,New Delhi,New Delhi
Chiramel and co,Chiramel and co,,,,,THAKKAR SADEN LINK ROAD,110055,,,India,New Delhi,New Delhi
Clasis Law,Clasis Law,,,,,"4TH FLOOR, TOLSTOY HOUSE TOLSTOY MARG ",110001,,,India,New Delhi,New Delhi
Cyril Amarchand Mangaldas,Cyril Amarchand Mangaldas,,,,,"PENINSULA CHAMBERS, PENINSULA CORPORATE PARK LOWER PARE",400013,,,India,Maharasthra,Mumbai
Dentons Link Legal,Dentons Link Legal,,,,,AIWAN-E-GHALIB COMPLEX MATA SUNDARI LANE,110002,,,India,New Delhi,New Delhi
De Penning And De Penning,De Penning And De Penning,,,,,120 VELACHERY MAIN ROAD GUINDY,600032,,,India,Tamil Nadu,Chennai
Dhaval Vussonji,Dhaval Vussonji,,,,,"113-114 FREE PRESS HOUSE 215 FREE PRESS JOURNAL MARG, NARIMAN POINT ",400021,,,India,Maharasthra,Mumbai
Dhir And Dhir Associates,Dhir And Dhir Associates,,,,,D-55 DEFENCE COLONY ,110024,,,India,New Delhi,New Delhi
Dhwaj And Associates,Dhwaj And Associates,,,,,"7TH FLOOR, LOGIX OFFICE TOWER SECTOR 32, NOIDA",201301,,,India,Uttar Pradesh,Noida
Finsec Law Advisors,Finsec Law Advisors,,,,,"904B, THE CAPITAL, BKC",400051,,,India,Maharasthra,Mumbai
Fox Mandal And Associates,Fox Mandal And Associates,,,,,"ROAD NO.:36, JUBILEE HILLS ",500033,,,India,Telengana,Hyderabad
Gagrats,Gagrats,,,,,"NIRMAL, 12TH FLOOR NARIMAN POINT ",400021,,,India,Maharasthra,Mumbai
Ganesan Manuraj LLP,Ganesan Manuraj LLP,,,,,"G-11, GAIETY PALACE, NO. 1, BLACKERS RD CHINDATRIPET",600002,,,India,Tamil Nadu,Chennai
Gopakumar Nair Associates,Gopakumar Nair Associates,,,,,"NEAR SAI DHAM, THAKUR COMPLEX KANDIVLI (EAST) ",400101,,,India,Maharasthra,Mumbai
Goswami and Nigam LLP,Goswami and Nigam LLP,,,,,"24, JANGPURA -A, MATHURA ROAD ",110014,,,India,New Delhi,New Delhi
Gravitas Legal,Gravitas Legal,,,,,"A-141, PORTION B, NEETI BAGH ",110049,,,India,New Delhi,New Delhi
Indialaw LLP,Indialaw LLP,,,,,"APEEJAY CHAMBERS, GROUND FLR, WALLACE ST, FORT 
",400001,,,India,Maharasthra,Mumbai
