Company Name,Profile heading,About Company,Email,Contact,Toll Free Number,Main Address,Address Pin Code,Address URL,Company Registration Number,Country,State,City
Oriflame,Oriflame,,,,,"2th Floor, Horizon Building, 57, Chowringhee Road",700071,,,India,West Bengal,Kolkata
Joy Beauty Care Private Limited,Joy Beauty Care Private Limited,,,,,"119, Park Street, White House",700016,,,India,West Bengal,Kolkata
Paramount Cosmetics,Paramount Cosmetics,,,,,"79, Rm No 209, Lenin Sarani",700012,,,India,West Bengal,Kolkata
Himalaya Cosmetics,Himalaya Cosmetics,,,,,"Rash Behari Avenue, Near Tribarna Sangha, Rajdanga Gardens, Kasba",700042,,,India,West Bengal,Kolkata
Baccarose ,Baccarose,,,,,"11/1, Sarat Bose Road, Bl-C Floor-304, Lala Lajpat Rai Sarani, Near Mento Park",700020,,,India,West Bengal,Kolkata
Mac,Mac,,,,,"33, Syed Amir Ali Avenue, Shop Ni. 118",700017,,,India,West Bengal,Kolkata
Estee Lauder,Estee Lauder,,,,,Syed Amir Ali Avenue 33,700017,,,India,West Bengal,Kolkata
Unique Cosmetics,Unique Cosmetics,,,,,"Shree Nagar Main Road, Near Arogya Homeo Clinic, Srinagar, Panchpota",700094,,,India,West Bengal,Kolkata
Berina Cosmetics,Berina Cosmetics,,,,,"Ramgarh Road, Near Ramgarh Seva Kendra, Garia",700032,,,India,West Bengal,Kolkata
Avon,Avon,,,,,"Shop No 101, 1st Floor Raj Plaza, 75 / A Rajpur Road",248001,,,India,West Bengal,Kolkata
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
