Company Name,Profile heading,About Company,Email,Contact,Toll Free Number,Main Address,Address Pin Code,Address URL,Company Registration Number,Country,State,City
Balaji Beauty Products,Balaji Beauty Products,,,,,"362A, Rabindra Sarani",700006,,,India,West Bengal,Kolkata
Lotus Herbals,Lotus Herbals,,,,,"1858/1, 9, Rajdanga Main Road",700107,,,India,West Bengal,Kolkata
Lakme,Lakme,,,,,"Premlata, Gr. Floor 39, Shakspear Sarani",700017,,,India,West Bengal,Kolkata
Colorbar,Colorbar,,,,,"G/009, 1858/1, Gr Flr, Acropolis Mall, Rajdanga Main Rd, Kasba New Mkt",700107,,,India,West Bengal,Kolkata
Lotus ,Lotus,,,,,"B811, Salt Lake City, Sector 2, Rajarhat",700091,,,India,West Bengal,Kolkata
Maybelline,Maybelline,,,,,,999999,,,India,,
Biotique,Biotique,,,,,"Subramania Bharti Marg, Near Axis Bank, Khan Market, Rabindra Nagar",110003,,,India,New Delhi,New Delhi
Fae Beauty,Fae Beauty,,,,,"308-311, Floor-3, Plot-CS 3116 DR E Moses Road, Shakti Mill Lane Jacob",400011,,,India,Maharasthra,Mumbai
Arata,Arata,,,,,"DSC-207, DLF South Court Mall, Saket",110017,,,India,New Delhi,New Delhi
The Body Shop,The Body Shop,,,,,"No A002, Plot No DC/1, City Centre Mall, Salt Lake City, Bidhan Nagar, Sector 1",700064,,,India,West Bengal,Kolkata
Bobbi Brown,Bobbi Brown,,,,,"Syed Amir Ali Avenue, Quest Mall, Beck Bagan",700017,,,India,West Bengal,Kolkata
Revlon India,Revlon India,,,,,"1400, Modi Tower, 98, Nehru Place",110019,,,India,New Delhi,New Delhi
Sugar ,Sugar,,,,,,999999,,,India,,
Forest Essentials,Forest Essentials,,,,,,999999,,,India,,
Nyx,,,,,,,999999,,,India,,
LA Girl,LA Girl,,,,,,999999,,,India,,
miss rose,miss rose,,,,,,999999,,,India,,
CVB cosmetics,CVB Cosmetics,,,,,"2350, Teliwara, Sadar Bazaar",110006,,,India,New Delhi,New Delhi
Glam21,Glam21,,,,,,999999,,,India,,
Incolour,Incolour,,,,,"A-63/1 ,2 nd floor opposite to Patanjali Store GT Karnal road industrial area Azadpur 

",110033,,,India,New Delhi,New Delhi
Colours Queen,Colours Queen,,,,,609-610 Moti Nagar Dlf,110015,,,India,New Delhi,New Delhi
Imagic,Imagic,,,,,,999999,,,India,,
Paese Cosmetics,Paese Cosmetics,,,,,,999999,,,India,,
Beurer India,Beurer India,,,,,"Sector- 48, Gurugram",122018,,,India,Uttar Pradesh,Gurgaon
Creature,Creature,,,,,,999999,,,India,,
Lebami,Lebami,,,,,"GF- 01,PLOT NO. A-163, MAIN JINDAL ROAD, KESHAV MARKET, SLF VED VIHAR, LONI, GHAZIABAD",201102,,,India,Uttar Pradesh,Ghaziabad
DeBelle,DeBelle,,,,,"No. 35/C, 2nd Floor, Kengal Skanda Building, 80 Feet Ring Rd, Stage 1, KHB Colony, Basaveshwar Nagar",560079,,,India,Karnataka,Bengaluru
7 days,7 days,,,,,,999999,,,India,,
MI Fashion,MI Fashion,,,,,,999999,,,India,,
Urbancolor,Urbancolor,,,,,Tile station B-25 Yougendra Nagar Boargaon road Opp Bank of Baroda anant Nagar Nagpur ,440013,,,India,Maharasthra,Mumbai
Renee,Renee,,,,,"16, Navyug Society, Surendra Mangaldas Road, Ambawadi

",380015,,,India,Gujarat,Ahmeddabad
Huda Beauty,Huda Beauty,,,,,,999999,,,India,,
Mars,Mars,,,,,"401, 4th floor, D-mall, Netaji Subhash Place, Pitampura",700034,,,India,New Delhi,New Delhi
Skinplus,Skinplus,,,,,,999999,,,India,,
Noor Cosmetics,Noor Cosmetics,,,,,"11/1, Raipur Rd E, Bijoygarh, Jadavpur",700032,,,India,West Bengal,Kolkata
Melvoha,Melvoha,,,,,"143/6 Building No, PN Road",999999,,,India,Kerala,Kerala
Quench,Quench,,,,,,999999,,,India,,
Beggie Black,Beggie Black,,,,,,999999,,,India,,
Chitrose,Chitrose,,,,,,999999,,,India,,
Adbeni,Adbeni,,,,,,999999,,,India,,
Urbanmac,Urbanmac,,,,,,999999,,,India,,
Swiss Beauty,Swiss Beauty,,,,,,999999,,,India,,
Stars Cosmetics,Stars Cosmetics,,,,,,999999,,,India,,
Inence ,Inence,,,,,,999999,,,India,,
Faces Canada,Faces Canada,,,,,,999999,,,India,,
