Company Name,Profile Heading,About Company,Email,Phone,Toll Free Number,Main Address,Address Pin Code,Address URL,Company Registration Number,Country,State,City
Facebook,Facebook,"Users to connect with friends and family by sharing status updates, personal†photos, follow each other",,8948033470,,"Building No 20, Raheja Mindspace, Vittal Rao Nagar, Hitec City",500081,www.facebook.com,,India,Telangana,Hyderabad
Instagram,Instagram,"Users to connect with friends and family by sharing status updates, personal†photos, follow each other",guptamm@gmail.com,,,"110, Linkway Eastate, New Link Road, Malad (West)",400064,www.instagram.com,,India,Maharashtra,Mumbai
Whatsapp,Whatsapp,"Exchange of text, photo, audio and video messages with others across the globe†",support@whatsapp.com,,,"Rose Appt., Sarfarad, Sector 23, Gautam Buddha Nagar",201301,www.web.whatsapp.com,,India,Uttar Pradesh,Hyderabad
Hi5,Hi5,"Users can provide personal information including interests, age, photos, and hometown",ramu@hi5.com,,,Andheri Kurla Road (East) ,400093,www.hi5.com,,India,Maharashtra,Mumbai
Pinterest,Pinterest,"To find ideas like recipes, home and style inspiration, and more",,,6505615407,Pinterest Inc. 651 Brannan Street,94107,www.pinterest.com,,USA,San Francisco,
Telegram Messenger,Telegram Messenger,Allows to send and receive messages from contacts even without sharing phone number,,,13022954800,"Business Central Towers, Tower A",501919,https://telegram.org/,,United Arab Emirates,Dubai,Dubai
Youtube,Youtube,Online video sharing,,,4066193000,"DivyaSree Omega Survey No 13, Kohtaguda",400051,www.youtube.com,,India,Telangana,Hyderabad
WeChat,WeChat,"provides text messaging, hold-to-talk voice messaging, video conferencing, video games, mobile payment, sharing of photographs and videos and location sharing",policy@ wechat.com,,,"†S-31, Vatika Atrium, Block B, 3rd Floor Golf Course Road, Sector 53",122002,www.wechat.com,,India,Haryana,Gurugram
Orkut,Orkut,"Online dating, friendship",,8067218000,,"403, AKD Tower, Sector 14",122001,www.orkut.com,,India,Haryana,Gurgaon
Skype,Skype,"Videotelephony, videoconferencing and voice calls",contactus@skype.net,,,"Europe, Luxembourg",1009,www.skype.com,,Europe,Luxembourg,
Zoom,Zoom,Video Communications,info@zoom.us,,,,,www.zoom.us,,U.S.,California,San Jose
Meetme,Meetme,"Online dating, friendship",support@meetme.com,,,"New Hope,†Pennsylvania,†U.S.",18938,www.meetme.com,,U.S.,New Hope,Pennsylvania
eHarmony,eHarmony,"Online dating, friendship",support@eharmony.com,,8445277421,"Wilshire Blvd 17
Los Angeles",90024,www.eharmony.com,,U.S.,California,Los Angeles
Tinder,Tinder,"Online dating, friendship",support@gotinder.com,,2148534309,8833 West Sunset Boulevard,90069,www.tinder.com,,U.S.A.,California,Los Angeles
Dating.com,Dating.com,"Online dating, friendship",support@dating.com,,1(888)9809770,"33 New, York, New York",14592,www.dating.com,,U.S.,New York,New York
Jaumo,Jaumo,"Online dating, friendship",info@jaumo.com,,71613048800,"6 Wehrstraﬂe, Goeppingen, Baden-Wuerttemberg",73035,www.jaumo.com,,Europe,Germany,Goppingen
OkCupid,OkCupid,"Online dating, friendship",support@okcupid.com,,,"45 West 21st Street, New York",10011,www.okcupid.com,,U.S.A.,New York,New York
Bumble ,Bumble,"Online dating, friendship",feedback@team.bumble.com,,,"Austin, 1105 W 41st St, United State",560047,www.bumble.com,,U.S.,Austin,Texas
Mingle2,Mingle2,"Online dating, friendship",contact_us@mingle2.com,,(415)3734066,"350 Sansome St, San Francisco",94104,www.mingle2.com,,U.S.,California,San Francisco
Hinge,Hinge,"Online dating, friendship",hello@hinge.co,,(800)9525210,809 Washington Street,10014,https://hinge.co/,,U.S.,New York,New York
Happn,Happn,"Online dating, friendship",contact@happn.fr,,,"Paris, 8 Rue du Sentier, France",75002,https://happn.com/,,Europe,France,Paris
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
