Company Name,Profile Heading,About Company,Email,Phone,Toll Free Number,Main Address,Address Pin Code,Address URL,Company Registration Number,Country,State,City
Rachna Bookstore,Rachna Bookstore,"Anthropology, biography & letters, childrens books, culture studies, photography, economics, fiction,food & gastronomy, travel, sociology",mail@rachnabooks.com,9733102304,,"Opposite manan Bhawan, Development Area",737101,https://rachnabooks.com/,,India,Sikkim,Gangtok
Oxford bookstore,Oxford bookstore,"Biography, History, Cookbooks, Fiction, Horror, Romantic, Mystery, Thrillers, Action & adventures, Classics, Fantasy, Science fiction, Comics",feedback@apeejaygroup.com,9330020986,,"17 Park Street, Apeejay House, Block C",700016,https://www.oxfordbookstore.com/,,India,West Bengal,Kolkata
Earthcare Books,Earthcare Book,"Care of natural resources, ecological agriculture & traditional systems, indegenous & other apporpriate technologies, non formal eduction, natural health, altenative lifetysles, culture & world views",earthcarebooks@gmail.com,(91) 3322296551,,"10 Middleton Street, near Maidan, Park Street ",700071,https://earthcarebooks.com/,,India,West Bengal,Kolkata
Seagull Books,Seagull Books,"Anthropology, biography & letters, childrens books, culture studies, photography, economics, fiction,food & gastronomy, travel, sociology",info@seagullbooks.org,033 24765869,,36C Shyama Prasad Mukherjee Road,700025,https://www.seagullbooks.org/,,India,West Bengal,Kolkata
Shakespeare Society of Eastern India,Shakespeare Society of Eastern India," literature, exhibitions, debates, musical performances by the Shakespeare Choir, quiz contests, etc.",dharal69@vsnl.net,033 24662688,,"6A, Maharaja Nanda Kumar Road",700029,https://www.ssei.org.in/,,India,West Bengal,Kolkata
Starmark,Starmark,"Books & magazines, stationery, toys, movies & music, gaming & peripherals, guft items",customercare@starmark.in,8100120120,,"South City Mall, Prince Anwar Shah Road, Jadavpur",700068,www.starmark.in,,India,West Bengal,Kolkata
Footsteps,Foodsteps,"Fiction, non fiction, kids",kolkata .footsteps@gmail.com,9836447773,,"DC 36, Sector 1, Salt Lake, City Center",700064,www.5indspot.com/kolkata/library/footsteps,,India,West Bengal,Kolkata
Bonanza,Bonanza,Books & magazines,,(91) 1149514600,,"Madan Mohan Street, Ansari Road, Daryaganj",110002,www.bonanza.com,,India,New Delhi,New Delhi
Atta Galatta,Atta Galatta,"Fiction, non fiction, kids, picture book, popular choice, best cover design",thebookstore@attagalatta.com,9632510126,,"178, 5th Main Road, 1st Stage, Indiranagar",560038,www.attagalatta.com,,India,Karnataka,Bengaluru
Sapna Book House,Sapna Book House,"Exams, Academics, Novels, Business, Regional, Children, Health Care, Stationery, Toys",cs@sapnaonline.com,8040114411,,2nd Cross Gandhinagar,560009,www.sapnaonline.com,,India,Karnataka,Bangalore
Techno World,Techno World,"Science books, engineering, management, adminstrative & commerce, computer, mathematics, higher education, novels, ICSE, techincal",technoworldcan@gmail.com,9331996116,,"Mahatma Gandhi Road, College Street ",700007,https://techno-world-book-publisher.business.site/,,India,West Bengal,Kolkata
Crossword,Crossword,"Fiction, non fiction, business & management, kids books, young adults, toys & games, stationery & gifts",estore@crossword.in,033 40063193,,"SaltLake, City Center Mall",700064,https://www.crossword.in/,,India,West Bengal,Kolkata
OCS (onlinecollegestreet.com),OCS (onlinecollegestreet.com),"Stationery items, academic books, competitive exam, general books, publishers ",,7003873770,,"Calcutta University, College Street",700007,https://onlinecollegestreet.com/,,India,West Bengal,Kolkata
Bahri Booksellers,Bahri Booksellers,"Fiction, non fiction, kids & young adults books, publishing books",bahrisons@outlook.com,1141757112,,"Opposite Main Gate, Khan Market, New Delhi",110003,https://www.booksatbahri.com/,,India,Delhi,Delhi
