Company Name,Profile Heading,About Company,Email,Phone,Toll Free Number,Main Address,Address Pin Code,Address URL,Company Registration Number,Country,State,City
Kitab Khana,Kitab Khana,"Adult fiction, non fiction, Kids & educational ", enquire@kitabkhana.in,2261702276,,"Somaiya Bhavan 45 / 47 MG Road, Fort",400001,https://kitabkhana.online/,,India,Maharashtra,Mumbai
Blossom Book House,Blossom Book House,"Kannada novel, music auto biography, author signed, zoroastrianism, zoology, history, world affairs, religion",sales@blossombookhouse.in,9449373202,,"Prestige Commercial Complex, Pabove Matteo Coffea",560001,https://www.blossombookhouse.in/,,India,Karnataka,Bengaluru
Pagdandi,Pagdandi,"Fiction, non fiction, poetry, graphics, childrens book, adults book",,7755908525,,"Regent Plaza Baner Pashan Link Road, Baner Pune",411045,https://pagdandi.org/bookstore/,,India,Maharashtra,Pune
Gulshan Book,Gulshan Book,"Fiction, non fiction, kids & young adults books,",contactus.tok@gmail.com,6006299154,,"70/4, Basantnagar Extn",181121,https://www.treasuresofkashmir.in/collections/gulshanbooks,,India,Jammu & Kashmir,Jammu & Kashmir
Deys Publishing,Deys Publishing,"Modern civilizations, adventure, law, photography, science, computer software",info@deyspublishing.com,033 22412330,,"Bankim Chatterjee, St Sealdah, College Square",700073,https://www.deyspublishing.com/,,India,West Bengal,Kolkata
Ananda Publishers ,Ananda Publishers ,All bengali books, online@anandapub.in,8777540036,,45 Beniatola Lane,700009,https://www.anandapub.in/#/home,,India,West Bengal,Kolkata
Books Wagon,Books Wagon,"Art & photography, biographies & memories, literature, fiction, history, business economics, law etc",customerservice@bookswagon.com,1141521153,,"Ansari road, Daryaganj",110002,https://www.bookswagon.com/#,,India,Delhi,Delhi
Bookchor,Bookchor,"Kids book, novels, crime thriller, young adult, romance, classics, teen friction, non friction",cs@bookchor.com,7419879198,,Vill. Dhaturi Near Murthal Sonipat ,131039,https://www.bookchor.com/,,India,Karnataka,Bengaluru
99bookscart.com,99bookscart.com,"Fiction, non fiction, etc",info@99bookscart.com,9019158183,,Vijayapura ,586109,https://www.99bookscart.com/,,India,Karnataka,Bijapur
Getmybooks,Getmybooks,"School books, higher educations, competitive exam, fiction & literature, Indian writing, childern & young adults, non fiction",support@getmybooks.com,033 41802100,,"Katha-O-Kahini (Book Sellers) Pvt. Ltd. 100 A,Kavi Sukanta Sarani",700085,https://getmybooks.com/search?h=1&,,India,West Bengal,Kolkata
Kitabay,Kitabay,"Romance, mystery & thriller, hindi books, young adult, non friction, etc",support@kitabay.com,7742473777,,BASEMENT CHITRAKOOT YOJANA VAISHALI NAGAR,302021,https://kitabay.com/,,India,Rajasthan,Jaipur
Grant Book Store,Grant Book Store,"Kids book, novels, crime thriller, young adult, romance, classics, teen friction, non friction",info@granth.com,033 26609327 ,,"H.M.House, Juhu Tara Road, Santacruz (West)",700049,https://www.granth.com/,,India,Maharashtra,Mumbai
Exam 360 Shop,Exam 360 Shop,"Competitive exam, management books, mining books, CAT, XAT, IIFT, CSAT, General Knowledge, Aerospace engineering, business studies, information technology, ebooks",exam360.in@gmail.com,7370005777,,"Hotel Woodland Chiragoda, Hirapur",826001,https://shop.exam360.in/,,India,Jharkhand,Dhanbad
Book Station,Book Station,"Educational books, non educational, competitive books, stationery",,8208262302,,Prabhat Rd Lane No 6 Erandwane,411004,bookstation.in,,India,Maharashtra,Pune
Chakraborty & Chatterjee book store,Chakraborty & Chatterjee book store,"Kids books, fiction, non fiction, text books",,9830506218,,"Bankim Chatterjee street, Chittaranjan Avenue",700073,,,India,West Bengal,Kolkata
Orient BlackSwan,Orient BlackSwan,"Higher academic, school education, ebooks",centraloffice@orientblackswan.com,033 27662849,," Himayatnagar, Hyderabad",500029,https://www.orientblackswan.com/,,India,Telangana,Hyderabad
