Company Name,Profile Heading,About Company,Email,Contact,Toll Free Number,Main Address,Address Pin Code,Address URL,Company Registration Number,Country,State,City
Aqua,Aqua,,,,,"The Park Hotel, 17, Park St, Taltala",700016,,,India,West Bengal,Kolkata
Roxy,Roxy,,,,,"17, Park St, Taltala",700016,,,India,West Bengal,Kolkata
Someplace Else,Someplace Else,,,,,"17, Park St, Taltala",700016,,,India,West Bengal,Kolkata
The Myx,The Myx,,,,,"20G, Park St, Park Street area",700016,,,India,West Bengal,Kolkata
Nocturne,Nocturne,,,,,"Jasmine Towers, 31, Shakespeare Sarani Rd, Mullick Bazar, Park Street area",700017,,,India,West Bengal,Kolkata
Tantra,Tantra,,,,,"17, Park St, Taltala",700016,,,India,West Bengal,Kolkata
UG reincarnated,UG reincarnated,,,,,"Hotel Hindusthan International, 235/1, Acharya Jagadish Chandra Bose Rd, Sreepally, Bhowanipore",700020,,,India,West Bengal,Kolkata
M Bar kitchen and cocktails,M Bar kitchen and cocktails,,,,,"24, Park St, Park Street area",700016,,,India,West Bengal,Kolkata
The Park Hotel,The Park Hotel,,,,,"17, Park St, Taltala",700016,,,India,West Bengal,Kolkata
Shisha Bar Stock Exchange,Shisha Bar Stock Exchange,,,,,"5th Floor, Block D, 22, Camac St, Kankaria Estates, Elgin",700016,,,India,West Bengal,Kolkata
Olypub,Olypub,,,,,"21, Park St, Taltala",700016,,,India,West Bengal,Kolkata
Privy Ultra Lounge,Privy Ultra Lounge,,,,,"10/3, 4th Floor, Forum, Lala Lajpat Rai Sarani, Sreepally, Bhawanipur",700020,,,India,West Bengal,Kolkata
Motorworks and brewing  company,Motorworks and brewing  company,,,,,"1st Floor, Street Number 17, EN Block, Sector V, Bidhannagar",700091,,,India,West Bengal,Kolkata
Monkey Bar and the fatty bao,Monkey Bar and the fatty bao,,,,,"Building, 9th Floor, 6 Camac Street, Fort Knox",700016,,,India,West Bengal,Kolkata
Blue and beyond,Blue and beyond,,,,,"8A & 8B, Lindsay Street, Lindsay Hotel, Opp, New Market Area",700087,,,India,West Bengal,Kolkata
The junction,The junction,,,,,"Taj Bengal, 34B, Belvedere Road",700027,,,India,West Bengal,Kolkata
Moulin rouge,Moulin rouge,,,,,"31, Park St, Dharmatala, Beniapukur",700016,,,India,West Bengal,Kolkata
The grid,The grid,,,,,"86A Topsia Road, Haute Street Building",700046,,,India,West Bengal,Kolkata
The Tollygunge Club,The Tollygunge Club,,,,,"120, Deshpran Sasmal Rd, Tollygunge Golf Club, Tollygunge",700033,,,India,West Bengal,Kolkata
The Lords and Barons,The Lords and Barons,,,,,"20 B, Park St, Park Street area",700016,,,India,West Bengal,Kolkata
Underground,Underground,,,,,"30, Circus Ave, Sreepally, Elgin",700071,,,India,West Bengal,Kolkata
Trincas,Trincas,,,,,"17, Park St, near Oxford Book Store, Park Street area",700016,,,India,West Bengal,Kolkata
The irish house,The irish house,,,,,"5th Floor, Quest Mall, 33, Syed Amir Ali Ave, Lower Range, Beck Bagan, Ballygunge",700017,,,India,West Bengal,Kolkata
Perfect Place in Town,Perfect Place in Town,,,,,"9th Floor, E2/3EP GP Block, Sector V, Stesalit Towers, near RDB CINEMAS, Bidhannagar",700091,,,India,West Bengal,Kolkata
Xrong Place,Xrong Place,,,,,"27, Dr.Sarat Banerjee Rd, lake Terrace, Kalighat",700029,,,India,West Bengal,Kolkata
Hola Kolkata,Hola Kolkata,,,,,"40a, Dr.Sarat Banerjee Rd, lake Terrace, Ballygunge",700029,,,India,West Bengal,Kolkata
The Saturday Club limited,The Saturday Club limited,,,,,"7, Dr M.L.K. Sarani, Mullick Bazar, Park Street area",700016,,,India,West Bengal,Kolkata
Hardrock café,Hardrock café,,,,,"Park Mansion, 57-A, Park St, Taltala",700016,,,India,West Bengal,Kolkata
Park Street,Park Street,,,,,Park Street area,700071,,,India,West Bengal,Kolkata
Club salsa nights,Club salsa nights,,,,,"Smoke Shack, BLOCK-E2, Dover Pl, Dover Terrace, Ballygunge",700019,,,India,West Bengal,Kolkata
Academy of fine arts,Academy of fine arts,,,,,"2, Cathedral Rd, Maidan",700020,,,India,West Bengal,Kolkata
The Dugout,The Dugout,,,,,"31, Sarat Bose Rd, Sreepally, Rafiganj",700020,,,India,West Bengal,Kolkata
Ozora,Ozora,,,,,"20 Floor, 1858, Acropolis Mall, Rajdanga Main Rd",700107,,,India,West Bengal,Kolkata
Royal Calcutta turf Club,Royal Calcutta turf Club,,,,,"H978+9VV, Acharya Jagadish Chandra Bose Rd, Lebutala, Bowbazar",700014,,,India,West Bengal,Kolkata
Hotel Hindustan International,Hotel Hindustan International,,,,,"235/1, Acharya Jagadish Chandra Bose Rd, Sreepally, Bhowanipore",700020,,,India,West Bengal,Kolkata
Zucca the lounge,Zucca the lounge,,,,,"P264C HEMANTA MUKHOPADHYAY SARANI, near Vivekananda Park Lake girls high school",700029,,,India,West Bengal,Kolkata
The Bikers Café,The Bikers Café,,,,,"Platinum mall, 31, Elgin Rd, Bhowanipore",700020,,,India,West Bengal,Kolkata
Mrs Magpie,Mrs Magpie,,,,,"GC-35, near GC Community Hall, GC Block, Sector III, SALT LAKE",700106,,,India,West Bengal,Kolkata
The bridge,The bridge,,,,,"The Floatel, Jetty, 9/10, Strand Rd, opposite SBI Head Quarters, B.B.D. Bagh",700001,,,India,West Bengal,Kolkata
Chai Break,Chai Break,,,,,"P 184, CIT Rd, Scheme VI-M, Kadapara, Phool Bagan, Kankurgachi",700054,,,India,West Bengal,Kolkata
Alfresco,Alfresco,,,,,"1,2,3, Old Court House Street, Dalhousie Square",700069,,,India,West Bengal,Kolkata
Jam House,Jam House,,,,,"Shop No. 7, 1, Acharya Jagadish Chandra Bose Rd, Elgin",700020,,,India,West Bengal,Kolkata
Flurys,Flurys,,,,,"18A, Park St, Park Street area",700071,,,India,West Bengal,Kolkata
West View,West View,,,,,"ITC Sonar, JBS Haldane Avenue",700105,,,India,West Bengal,Kolkata
Dolly's The tea shop,Dolly's The tea shop,,,,,"Shop No. G-62, Ground Floor, Dakhinapan Shopping Complex, 2, Gariahat Road South, Dhakuria",700068,,,India,West Bengal,Kolkata
