BRAND NAME,PROFILE HEADING,ABOUT COMPANY,EMAIL,PHONE,TOLL FREE NO,MAIN ADDRESS,PINCODE,URL,COMPANY REGISTRATION NO,COUNTRY,STATE,CITY
Toyota Motor,,"Japanese multinational automotive manufacturer headquartered in Toyota City, Aichi, Japan.",,81 3-3817-7111,,"1 Chome-4-18 Koraku, Bunkyo City, Tokyo 112-0004, Japan", 112-0004,https://global.toyota/en/,,Japan,Tokyo,Tokyo
HONDA,,"Honda is a mobility company powered by everyone’s dreams, creating mobility that helps and inspires people, in a wide range of fields such including motorcycles, automobiles, power products and aircraft.",,81 3-3423-1111,,"2 Chome-1-1 Minamiaoyama, Minato City, Tokyo 107-0062, Japan",07-0062,https://www.honda.co.jp/,,Japan,Tokyo,Tokyo
LEXUS ,,"We are an automotive company that takes inspired design, relentless innovation and uninhibited performance and turns them into passionate, moving experiences. But, that's only part of our DNA. We're equally dedicated to offering exceptional customer experiences.",,81 120-929-584,," 2 Chome-5-8 Kita-Aoyama, Minato City, Tokyo 107-0061, Japan",107-0061,https://lexus.jp/,,Japan,Tokyo,Tokyo
MAZDA,,"The name “Mazda” was introduced to Japan in October 1931. Mazda started its life as a cork manufacturer back in 1920. The year 1931 was when Mazda, then called the Toyo Kogyo Co., Ltd., launched the “Mazda-go”, a tricycle truck which is a first vehicle coming out of the company.",,81?0?82-282-1111,,"25th Floor, Kasumigaseki Building, 3-2-5, Kasumigaseki, Chiyoda-ku,Tokyo 100-6025",100-6025,https://www.mazda.co.jp/,,Japan,Tokyo,Tokyo
SUZUKI,,"Suzuki Motor Corporation is a Japanese multinational mobility manufacturer headquartered in Hamamatsu, Shizuoka.",,1-800-888-398,,"300 Takatsuka-Cho, Chuo-ku, Hamamatsu-shi, Shizuoka",432 8611,https://www.suzuki.co.jp/,,Japan,,Shizuoka
NISSAN,,"Nissan Motor Co. Ltd. is a Japanese multinational automobile manufacturer headquartered in Yokohama, Kanagawa, Japan. The company sells its vehicles under the Nissan and Infiniti brands, and formerly the Datsun brand, with in-house performance tuning products under the Nismo and Autech brands.",,81(0)45-523-5523,,"1-1, Takashima 1-chome, Nishi-ku, Yokohama, Kanagawa, 220-8686, Japan",220-8686,https://www3.nissan.co.jp/en.html,,Japan,,Yokohama
MITSUBISHI,,An ambitious young man named Yataro Iwasaki launched the first Mitsubishi company —a shipping firm—in 1870. Japan had just emerged from centuries of feudal isolation and was racing to catch up with the West. Yataro's business grew rapidly and diversified into a broad range of manufacturing and commerce.,,0081 (3) 3218-2111,,"2-7-3, Marunouchi Chiyoda-ku, Tokyo 100-8310, Japan",00-8310,https://www.mitsubishi-motors.com/jp/,,Japan,Tokyo,Tokyo
SUBARU,,"It is best known for its line of Subaru automobiles. Founded in 1953, the company was named Fuji Heavy Industries until 2017. The company's aerospace division is a defense contractor to the Japanese government, manufacturing Boeing and Lockheed Martin helicopters and airplanes under license.",,81 3-6447-8000,," Ebisu Subaru Building, 1 Chome-20-8 Ebisu, Shibuya City, Tokyo 150-0013, Japan",150-0013,https://www.subaru.co.jp/en/,,Japan,Tokyo,Tokyo
DAIHATSU,,"In 1931, the company launched a three-wheeled car equipped with a 500cc engine. Since then, Daihatsu's goal has been to create compact cars that are cherished worldwide, and it has focused its business on the development and manufacture of mini vehicles.",,81-3-5828-3501,,"1-13, Higashiueno 2-chome, Daito-ku, Tokyo, 110-0015 Japan",110-0015,https://www.daihatsu.com/,,Japan,Tokyo,Tokyo
ISUZU,,"Isuzu Motors Limited, Japan - headquartered in Tokyo, is a global manufacturer of light, medium and heavy commercial vehicles, utility vehicles and diesel engines. The company has operations in over 25 countries, selling in more than 100 countries worldwide.",,81-(0)45-556-1020,,"1-2-5 Takashima, Nishi-ku, Yokohama, Kanagawa, 220-0011 Japan",220-0011,https://www.isuzu.co.jp/world/,,Japan,,Kanagawa
