BRAND NAME,PROFILE HEADING,ABOUT COMPANY,EMAIL,PHONE,TOLL FREE NO,MAIN ADDRESS,PINCODE,URL,COMPANY REGISTRATION NO,COUNTRY,STATE,CITY
Toyota Motor,,,,81 3-3817-7111,,"1 Chome-4-18 Koraku, Bunkyo City, Tokyo 112-0004, Japan", 1120004,https://global.toyota/en/,,Japan,Tokyo,Tokyo
HONDA,,,,81 3-3423-1111,,"2 Chome-1-1 Minamiaoyama, Minato City, Tokyo 107-0062, Japan",70062,https://www.honda.co.jp/,,Japan,Tokyo,Tokyo
LEXUS ,,,,81 120-929-584,," 2 Chome-5-8 Kita-Aoyama, Minato City, Tokyo 107-0061, Japan",1070061,https://lexus.jp/,,Japan,Tokyo,Tokyo
MAZDA,,,,81?0?82-282-1111,,"25th Floor, Kasumigaseki Building, 3-2-5, Kasumigaseki, Chiyoda-ku,Tokyo 100-6025",1006025,https://www.mazda.co.jp/,,Japan,Tokyo,Tokyo
SUZUKI,,,,1-800-888-398,,"300 Takatsuka-Cho, Chuo-ku, Hamamatsu-shi, Shizuoka",432 8611,https://www.suzuki.co.jp/,,Japan,,Shizuoka
NISSAN,,,,81(0)45-523-5523,,"1-1, Takashima 1-chome, Nishi-ku, Yokohama, Kanagawa, 220-8686, Japan",2208686,https://www3.nissan.co.jp/en.html,,Japan,,Yokohama
MITSUBISHI,,,,0081 (3) 3218-2111,,"2-7-3, Marunouchi Chiyoda-ku, Tokyo 100-8310, Japan",8310,https://www.mitsubishi-motors.com/jp/,,Japan,Tokyo,Tokyo
SUBARU,,,,81 3-6447-8000,," Ebisu Subaru Building, 1 Chome-20-8 Ebisu, Shibuya City, Tokyo 150-0013, Japan",1500013,https://www.subaru.co.jp/en/,,Japan,Tokyo,Tokyo
DAIHATSU,,,,81-3-5828-3501,,"1-13, Higashiueno 2-chome, Daito-ku, Tokyo, 110-0015 Japan",1100015,https://www.daihatsu.com/,,Japan,Tokyo,Tokyo
ISUZU,,,,81-(0)45-556-1020,,"1-2-5 Takashima, Nishi-ku, Yokohama, Kanagawa, 220-0011 Japan",2200011,https://www.isuzu.co.jp/world/,,Japan,,Kanagawa
