BRAND NAME,PROFILE HEADING,ABOUT COMPANY,EMAIL,PHONE,TOLL FREE NO,MAIN ADDRESS,PINCODE,URL,COMPANY REGISTRATION NO,COUNTRY,STATE,CITY
Toyota Motor,,,,81 338177111,,"1 Chome-4-18 Koraku, Bunkyo City, Tokyo 112-0004, Japan", 1120004,https://global.toyota/en/,,Japan,Tokyo,Tokyo
HONDA,,,,81 334231111,,"2 Chome-1-1 Minamiaoyama, Minato City, Tokyo 107-0062, Japan",70062,https://www.honda.co.jp/,,Japan,Tokyo,Tokyo
LEXUS ,,,,81 120929584,," 2 Chome-5-8 Kita-Aoyama, Minato City, Tokyo 107-0061, Japan",1070061,https://lexus.jp/,,Japan,Tokyo,Tokyo
MAZDA,,,,81?0?822821111,,"25th Floor, Kasumigaseki Building, 3-2-5, Kasumigaseki, Chiyoda-ku,Tokyo 100-6025",1006025,https://www.mazda.co.jp/,,Japan,Tokyo,Tokyo
SUZUKI,,,,1800888398,,"300 Takatsuka-Cho, Chuo-ku, Hamamatsu-shi, Shizuoka",432 8611,https://www.suzuki.co.jp/,,Japan,,Shizuoka
NISSAN,,,,8.10455E+11,,"1-1, Takashima 1-chome, Nishi-ku, Yokohama, Kanagawa, 220-8686, Japan",2208686,https://www3.nissan.co.jp/en.html,,Japan,,Yokohama
MITSUBISHI,,,,0081 3 32182111,,"2-7-3, Marunouchi Chiyoda-ku, Tokyo 100-8310, Japan",8310,https://www.mitsubishi-motors.com/jp/,,Japan,Tokyo,Tokyo
SUBARU,,,,81 364478000,," Ebisu Subaru Building, 1 Chome-20-8 Ebisu, Shibuya City, Tokyo 150-0013, Japan",1500013,https://www.subaru.co.jp/en/,,Japan,Tokyo,Tokyo
DAIHATSU,,,,81358283501,,"1-13, Higashiueno 2-chome, Daito-ku, Tokyo, 110-0015 Japan",1100015,https://www.daihatsu.com/,,Japan,Tokyo,Tokyo
ISUZU,,,,8.10456E+11,,"1-2-5 Takashima, Nishi-ku, Yokohama, Kanagawa, 220-0011 Japan",2200011,https://www.isuzu.co.jp/world/,,Japan,,Kanagawa
