Company,Profile Heading,About Company,Email ,Phone Number,Tollfree Number ,Address,pincode ,URL,Company Registration No.,Country,State ,City ,,,,,,,,,,,,,,,,
"Konami Digital Entertainment Co., Ltd.",,"In the digital entertainment industry, accessibility and connectivity are reshaping gaming as more than just entertainment—it's now a tool for self-expression and communication. With advancements like MR, Web3, and the Metaverse on the horizon, KONAMI is dedicated to innovating experiences that inspire globally.",us-opsupport@konami.com,"1,894",,"5-37-8 Shiba, Minato-ku, Tokyo 108-0014",108-0014,https://www.konami.com/games/corporate/en/,,Japan ,Tokyo,Tokyo,,,,,,,,,,,,,,,,
Capcom,,"Capcom began in Japan in 1979 as a manufacturer and distributor of electronic game machines. In 1983 Capcom Co., Ltd was founded and soon built a reputation for introducing cutting-edge technology and software to the video game market. Now an industry leader in the video game industry, Capcom's legacy of historic franchises in home and arcade gaming are testaments to an unparalleled commitment to excellence.",dpo@capcom.com.,81(6)6920-3600,,"3-1-3 Uchihiranomachi Chuo-Ku Osaka, 540-0037, Japan.",540-0037,https://www.capcom.com/,,Japan ,Tokyo,Tokyo,,,,,,,,,,,,,,,,
SNK Corporation,,"SNK Corporation is a Japanese video game hardware and software company. It is the successor to the company Shin Nihon Kikaku and presently owns the SNK video game brand and the Neo Geo video game platform, and electronics. SNK's predecessor Shin Nihon Kikaku Corporation was founded in 1978 by Eikichi Kawasaki. ",info-usa@snk-corp.co.jp,81-3-6670-6615,,"Shin-Meguro Tokyu Building 7th Floor, 2-25-2,Kamiosaki, Shinagawa-ku, Tokyo 141-0021",141-0021,https://www.snk-corp.co.jp/us/,,Japan ,Tokyo,Tokyo,,,,,,,,,,,,,,,,
The pokemon Company ,," The Pokémon Company is a Japanese company responsible for brand management, production, publishing, marketing, and licensing of the Pokémon franchise, which consists of video games, a trading card game, anime television series, films, manga, home entertainment products, merchandise, and other ventures. ",doe@pokemon.co.jp),81 120-049-725,,"Japan, ?106-6108 Tokyo, Minato City, Roppongi, 6 Chome?10?1, Roppongi Hills Mori Tower, 8F",106-6108,https://www.pokemon.com/us,,Japan ,Tokyo,Tokyo,,,,,,,,,,,,,,,,
Marvelous ,,"Kabushiki-gaisha M?berasu, previously known as Marvelous AQL) is a Japanese video game developer and publisher, and anime producer. The company was founded in 1997 but formed in its current state on October 2011 by the merger of the original Marvelous Entertainment with AQ Interactive, and Liveware.",,81 00-0000-0000,,"5F Shinagawa Seaside East Tower, 4-12-8, Higashi-Shinagawa, Shinagawa-ku, Tokyo, 140-0002, Japan","140-0002,",https://marvelousgames.com/contact,,Japan ,Tokyo,Tokyo,,,,,,,,,,,,,,,,
Bandai Namco,“More fun for all into the future”,"We started out as a games company, but expanded our business to other forms of entertainment, and so Bandai Namco Games was renamed to Bandai Namco Entertainment in 2015.
Our company continues to evolve to keep up with the ever-changing world.

",dpo@bandainamcoent.eu,(888) 956-2626,,"5-37-8, Shiba Bandai Namco Mirai Kenkyusho Minato-ku, Tokyo, 108-0014 Japan",108-0014,https://en.bandainamcoent.eu/,,Japan ,Tokyo,Tokyo,,,,,,,,,,,,,,,,
Sony interactive entertainment ,,"Sony Interactive Entertainment (SIE) is a global pioneer in video game and entertainment responsible for developing the PlayStation line of consoles, award-winning games, and services for millions of fans around the world since the launch of the original PlayStation in Japan in 1994.",,63 935 111 570,,"1-ch?me-7-1 K?nan, Minato City, Tokyo 108-0075, Japan","108-0075,",https://www.sie.com/jp/saiyo.html,,Japan ,Tokyo,Tokyo,,,,,,,,,,,,,,,,
koei tecmo,,"Koei Tecmo Holdings Co., Ltd. is a Japanese video game, amusement and anime holding company created in 2009 by the merger of Koei and Tecmo. Koei Tecmo Holdings owns several companies, the biggest one of those being its flagship video game developer and publisher Koei Tecmo Games that was founded in 1978 as Koei.",privacy@koeitecmo.co.jp,,,"1-18-12 Minowa-cho, Kohoku-ku, Yokohama-shi, Kanagawa Prefecture 223-8503",223-8503,https://www.koeitecmoamerica.com/,,Japan ,Tokyo,Tokyo,,,,,,,,,,,,,,,,
COLOPL,,"We started in 2003 as a private site with the game ""Colony Life."" When we incorporated in 2008, we based our company name on an abbreviation of our website name, Colony Life?Plus, as a way to remember how we started.",last@colopl.co.jp.,,,"Yebisu Garden Place Tower 11f 4-20-3 Shibuya-ku, Tokyo, 150-6011, JP",150-6011,https://colopl.co.jp/en/,,Japan ,Tokyo,Tokyo,,,,,,,,,,,,,,,,
Atlus,,"Atlus Co., Ltd. is a Japanese video game developer, publisher, arcade manufacturer and distribution company based in Tokyo. A subsidiary of Sega, the company is known for video game series such as Megami Tensei, Persona, Etrian Odyssey, and Trauma Center, as well as Print Club arcade machines.",support@shopatlus.com,,,"1-1-1 Nishi-Shinagawa,Shinagawa-ku, Tokyo, 141-0033",141-0033,https://atlus.com/,,Japan ,Tokyo,Tokyo,,,,,,,,,,,,,,,,
Ubisoft,"SMALL BEGINNINGS, BIG IDEAS","Ubisoft may have 21,000 employees in offices and studios around the world, but the company began with a family.",AccountSupport@ubi.com,03-3280-8782,,KDX Ebisu Bldg 2F. 4-3-8 Ebisu Shibuya-ku Tokyo 150-0013 Japan,150-0013,https://www.ubisoft.com/en-gb/,,Japan ,Tokyo,Tokyo,,,,,,,,,,,,,,,,
Electronic Arts,,"Driven by passion, we are a global leader in digital interactive entertainment.

Headquartered in Redwood City in Northern California, we develop and deliver games, content, and online services for Internet-connected consoles, mobile devices, and personal computers. Through our cutting-edge games, innovative services, and powerful technologies, we bring worlds with infinite possibilities to nearly 600 million active players and fans around the globe, and are recognized for a portfolio of critically acclaimed, high-quality brands such as EA SPORTS FC, Battlefield, Apex Legends™, The Sims, Madden NFL, Need for Speed,Titanfall and F1.

",,(81-3) 6809-2050.,,"4-3-1 Toranomon, Shiroyama Trust Tower, 9th Floor, Minato-ku, Tokyo 105-6009, Japan,",105-6009,https://www.ea.com/ja-jp,,Japan ,Tokyo,Tokyo,,,,,,,,,,,,,,,,
Nintendo,,"Nintendo Co., Ltd.is a Japanese multinational video game company headquartered in Kyoto. It develops, publishes and releases both video games and video game consoles.",,,,,,https://www.nintendo.com/us/,,Japan ,Tokyo,Tokyo,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
