Company Name,Profile Heading,About Company,Email,Phone,Toll Free Number,Main Address,Address Pin Code,Address URL,Company Registration Number,Main address country,Main address State,status,trending,Created date,Updated date,Main address city,verified,Paid status,Operating hours,Membership type id,Complaint status,Complaint level,logo,parent Id
new comp1,Web Art Pvt Ltd,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Vivamus commodo justo metus, sollicitudin fermentum sem lobortis id. Phasellus interdum maximus ante ut aliquam. Sed posuere pellentesque massa, eu feugiat augue. Phasellus maximus placerat dolor nec porttitor.",info@icici.com,,,"Ghatsila Main Rd, Ghatshila, Jharkhand, 832103",832103,,11,IN,wb,,,,,,,,9-6pm,,,,,0
new comp2,Web Art Pvt Ltd1,"Ut aliquam sem in condimentum varius. Suspendisse potenti. Nullam ultricies turpis sapien, sit amet tempus elit hendrerit eu. Nam a odio interdum, posuere enim a, rhoncus nulla. Phasellus sollicitudin finibus massa eget consectetur.",admin@bajajfinance,4555454447,,"Opp. Petrol Pump, Tower Rd, Gandevi, Gujarat, 396360",396360,,22,IN,wb,,,,,,,,9-6pm,,,,,0
Konami,,,,,,"1-11-1, Ginza, Chuo-ku, Tokyo, 104-0061 Japan",104-0061,https://www.konami.com/en/,,JAPAN,Tokyo,,,,,  ,,,,,,,,
BANDAI,,,,,,"1-4-8 Komagata Taito-Ku, 111-0043 Japan",111-0043,https://www.bandai.co.jp/e/,,JAPAN,Tokyo,,,,,Tokyo,,,,,,,,
Takara Tomy,,,,,,"7-9-10 Tateishi, Katsushika-ku, Tokyo 124-8511, Japan",124-8511,https://www.takaratomy.co.jp/english/,,JAPAN,Tokyo,,,,,Tokyo,,,,,,,,
Toe,,,,,,"Nagoya, Aichi, Jpn",,,,JAPAN,Tokyo,,,,,Tokyo,,,,,,,,
"Epoch Co., Ltd.",,,,,,"2-2, Komagata 2-chome, Taito-ku, Tokyo 111-8618",111-8618,https://epoch.jp/global/en/,,JAPAN,Tokyo,,,,,Tokyo,,,,,,,,
Aoshima Bunka Kyozai,,,,,,"12-3 Ryutsu Center, Aoi-ward, Shizuoka-city, Shizuoka-pref, 420-0922, Japan ", 420-0922,https://www.aoshima-bk.co.jp/en/,,JAPAN,Shizuoka,,,,,Shizuoka,,,,,,,,
Banpresto,,,,,," 2F Shinagawa Seaside West Towe 4-12-2 Higa140-0002shi-Shinagawa Shinagawa-Ku, 140-0002 Japan",140-0002,https://www.banpresto.jp/,,JAPAN,Shinagawa,,,,,Shinagawa,,,,,,,,
Good Smile Company,,,,,," 3-16-12, SOTOKANDA AKIBA CO BLDG. 8F. CHIYODA-KU, TOKYO, 101-0021 Japan", 101-0021,https://www.goodsmile.info/en/products/search,,JAPAN,Tokyo,,,,,Tokyo,,,,,,,,
