Company Name,Profile Heading,About Company,Email,Phone,Toll Free Number,Main Address,Address Pin Code,Address URL,Company Registration Number,Main address country,Main address State,status,trending,Created date,Updated date,Main address city,verified,Paid status,Operating hours,Membership type id,Complaint status,Complaint level,logo,parent Id
Rakuten Mobile,,,,,,"Rakuten Crimson House, 1-14-1 Tamagawa,Setagaya-ku, Tokyo 158-0094",158-0094,https://corp.mobile.rakuten.co.jp/english/,,JAPAN,Tokyo ,,,,,Tokyo ,,,,,,,,
SONY,,,,,,"1-7-1 Konan Minato-ku, Tokyo, 108-0075 Japan",108-0075,https://www.sony.co.jp/,,JAPAN,Tokyo ,,,,,Tokyo ,,,,,,,,
APPLE,,,,,,"Apple Inc.1 Apple Park Way,Cupertino, CA 95014,United States 6-10-1, ROPPONGI ROPPONGI HILLS MORI TOWER 40F. MINATO-KU, TOKYO, 106-0032 Japan",106-0032,https://www.apple.com/jp/,,JAPAN,Tokyo ,,,,,Tokyo ,,,,,,,,
ASUS,,,,,,"4-1-7, KUDANKITA KUDAN CENTER BLDG. 11F. CHIYODA-KU, TOKYO, 102-0073 Japan",102-0073,https://www.asus.com/jp/,,JAPAN,Tokyo ,,,,,Tokyo ,,,,,,,,
MOTOROLA,,,,,,"Motorola Mobility Japan Inc.Shiroyama Trust Tower 23F, 4-3-1 ToranomonMinato-ku, Tokyo 105-6023 Japan",105-6023,https://www.motorola.co.jp/,,JAPAN,Tokyo ,,,,,Tokyo ,,,,,,,,
SAMSUNG,,,,,,"6th Fl., Shinagawa Grand Central Tower, 2-16-4, Konan, Minato-Ku, Tokyo, Japan",108-0075,https://www.samsung.com/jp/,,JAPAN,Tokyo ,,,,,Tokyo ,,,,,,,,
XIAOMI,,,,,,"Tokyo, Tokyo, Japan",,https://www.mi.com/jp/,,JAPAN,Tokyo ,,,,,Tokyo ,,,,,,,,
ZTE,,,,,,"s: 1-8-12, HARUMI HARUMI ISLAND TRITON SQUARE OFFICE TOWER Z TO 32F. CHUO-KU, TOKYO, 104-0053 Japan",104-0053,https://www.ztedevices.com/jp/,,JAPAN,Tokyo ,,,,,Tokyo ,,,,,,,,
Fujitsu,,,,,,"1 Chome-5-2 Higashishinbashi, Minato City, Tokyo 105-7123, Japan",105-7123,,,JAPAN,Tokyo ,,,,,Tokyo ,,,,,,,,
SHARP,,,,,,"Seavans South Building, 1-2-3 Shibaura, Minato-ku,Tokyo 105-0023, Japan",105-0023,https://global.sharp/,,JAPAN,Tokyo ,,,,,Tokyo ,,,,,,,,
Huawei,,,,,,"1-5-1, OTEMACHI OTEMACHI FIRST SQUARE WEST TOWER 12F. CHIYODA-KU, TOKYO, 100-0004 Japan",100-0004,https://www.huawei.com/jp/,,JAPAN,Tokyo ,,,,,Tokyo ,,,,,,,,
Google Pixel,,,,,,"Roppongi Hills Mori Tower 6-10-1 Roppongi Minato-ku, Tokyo 106-6126 Japan",106-6126,https://www.huawei.com/jp/,,JAPAN,Tokyo ,,,,,Tokyo ,,,,,,,,
LG,,,,,,"2-1-3 Kyobashi, Chuo-ku, Kyobashi Trust Tower, Tokyo, 104-8301",104-8301,https://www.lg.com/jp/,,JAPAN,Tokyo ,,,,,Tokyo ,,,,,,,,
OPPO,,,,,,"3-7-1 Minatomirai, Nishi-ku, Yokohama 220-0012 Ocean Gate Minatomirai 13th floorMap",220-0012,https://www.oppo.com/jp/,,JAPAN,Yokohama,,,,,Yokohama,,,,,,,,
HTC,,,,,,"1F,1-8-3, Sotokanda, Chiyoda Ku, Tokyo To, 101-0021, Japan",101-0021,https://www.htc.com/jp/,,Japan,Tokyo ,,,,,Tokyo ,,,,,,,,
NIPPON TELEGRAPH AND TELEPHONE CORPORATION,,,,,,"Otemachi First Square, East Tower, 5-1, Otemachi 1-Chome, Chiyoda-ku, Tokyo 100-8116, Japan"," 100-8116,",https://group.ntt/en/,,Japan,Tokyo ,,,,,Tokyo ,,,,,,,,
KDDI CORPORATION,,,,,,"Garden Air Tower, 3-10-10, Iidabashi, Chiyoda-ku, Tokyo 102-8460, Japan",102-8460,https://www.kddi.com/english/,,Japan,Tokyo ,,,,,Tokyo ,,,,,,,,
SOFTBANK,,,,,,"1-7-1, Kaigan, Minato-Ku, Tokyo 105-7537", 105-7537,https://www.softbank.jp/en//,,Japan,Tokyo ,,,,,Tokyo ,,,,,,,,
IIJ Global Solutions Inc.,,,,,,"Iidabashi Grand Bloom 2-10-2 Fujimi, Chiyoda-ku, Tokyo 102-0071, Japan",102-0071,https://www.iij.ad.jp/en/,,Japan,Tokyo ,,,,,Tokyo ,,,,,,,,
OPTAGE,,,,,," BLDG., 2-1-5 Shiromi, Chuo-ku, Osaka, 540-8622, Japan",540-8622,https://optage.co.jp/en/,,Japan, Osaka,,,,, Osaka,,,,,,,,
"WOWOW Entertainment, Inc.",,,,,,"WOWOW Broadcasting Center, 2-1-58, Tatsumi, Koto-ku, Tokyo 135-8080 Japan ",135-8080,https://www.wowow.co.jp/english/,,Japan,Tokyo ,,,,,Tokyo ,,,,,,,,
