Company,Profile Heading,About Company,Email,Phone Number,Tollfree Number,Address,Pincode,URL,Company Registration No.,Country,State,City
"Konami Digital Entertainment Co., Ltd.",,,us-opsupport@konami.com,,,"5-37-8 Shiba, Minato-ku, Tokyo 108-0014",,https://www.konami.com/games/corporate/en/,,Japan,Tokyo,Tokyo
Capcom,,,dpo@capcom.com.,,,"3-1-3 Uchihiranomachi Chuo-Ku Osaka, 540-0037, Japan.",,https://www.capcom.com/,,Japan,Tokyo,Tokyo
SNK Corporation,,,info-usa@snk-corp.co.jp,,,"Shin-Meguro Tokyu Building 7th Floor, 2-25-2,Kamiosaki, Shinagawa-ku, Tokyo 141-0021",,https://www.snk-corp.co.jp/us/,,Japan,Tokyo,Tokyo
The pokemon Company,,,doe@pokemon.co.jp),,,"Japan, ?106-6108 Tokyo, Minato City, Roppongi, 6 Chome?10?1, Roppongi Hills Mori Tower, 8F",,https://www.pokemon.com/us,,Japan,Tokyo,Tokyo
Marvelous,,,,,,"5F Shinagawa Seaside East Tower, 4-12-8, Higashi-Shinagawa, Shinagawa-ku, Tokyo, 140-0002, Japan",,https://marvelousgames.com/contact,,Japan,Tokyo,Tokyo
Bandai Namco,“More fun for all into the future”,,dpo@bandainamcoent.eu,,,"5-37-8, Shiba Bandai Namco Mirai Kenkyusho Minato-ku, Tokyo, 108-0014 Japan",,https://en.bandainamcoent.eu/,,Japan,Tokyo,Tokyo
Sony interactive entertainment,,,,,,"1-ch?me-7-1 K?nan, Minato City, Tokyo 108-0075, Japan",,https://www.sie.com/jp/saiyo.html,,Japan,Tokyo,Tokyo
koei tecmo,,,privacy@koeitecmo.co.jp,,,"1-18-12 Minowa-cho, Kohoku-ku, Yokohama-shi, Kanagawa Prefecture 223-8503",,https://www.koeitecmoamerica.com/,,Japan,Tokyo,Tokyo
COLOPL,,,last@colopl.co.jp.,,,"Yebisu Garden Place Tower 11f 4-20-3 Shibuya-ku, Tokyo, 150-6011, JP",,https://colopl.co.jp/en/,,Japan,Tokyo,Tokyo
Atlus,,,support@shopatlus.com,,,"1-1-1 Nishi-Shinagawa,Shinagawa-ku, Tokyo, 141-0033",,https://atlus.com/,,Japan,Tokyo,Tokyo
Ubisoft,"SMALL BEGINNINGS, BIG IDEAS",,AccountSupport@ubi.com,,,KDX Ebisu Bldg 2F. 4-3-8 Ebisu Shibuya-ku Tokyo 150-0013 Japan,,https://www.ubisoft.com/en-gb/,,Japan,Tokyo,Tokyo
Electronic Arts,,,,,,"4-3-1 Toranomon, Shiroyama Trust Tower, 9th Floor, Minato-ku, Tokyo 105-6009, Japan,",,https://www.ea.com/ja-jp,,Japan,Tokyo,Tokyo
Nintendo,,,,,,,,https://www.nintendo.com/us/,,Japan,Tokyo,Tokyo
