Company Name,Profile Heading,About Company,Email,Phone Number,Tollfree Number,Address,URL,Company Registration No.,Country,State,City,Pincode
Money design,"One life,Enjoy the quest of realizing yourself.",,,,,,https://www.money-design.com/,,Japan,Tokyo,Tokyo,
Money Forward,,,mf-globalinvestments@moneyforward.co.jp,,,,https://liquidinc.asia/global/company/,,Japan,Tokyo,Tokyo,
Kyash,,,hello@kyash.co,,,,,,,,,
Liquid,,,,,,,https://liquidinc.asia/global/company/,,,,,
Money Tree,,,,,,,https://getmoneytree.com/jp/home,,,,,
Welath Navi,,,,,,,https://corp.wealthnavi.com/en,,,,,
TMI Associates,,,,,,,https://www.tmi.gr.jp/,,,,,
Folio,,,FOLIO-OSAKA@FOLIOHOTELS.COM,,,,https://www.foliohotels.com/,,,,,
Pay pay,,,,,,,https://about.paypay.ne.jp/en/,,,,,
Bitflyer,,,,,,,https://bitflyer.com/en-jp,,,,,
