Company Name,Profile Heading,About Company,Email,Phone,Toll Free Number,Main Address,Address Pin Code,Address URL,Company Registration Number,Main address country,Main address State,status,trending,Created date,Updated date,Main address city,verified,Paid status,Operating hours,Membership type id,Complaint status,Complaint level,logo,parent Id
Avex,,,,,,"Sumitomo Fudosan Azabu-Juban Building, 1-4-1 Mita, Minato-ku, Tokyo 108-0073",108-0073,https://avex.com/jp/en/,,Japan,Tokyo,,,,,Tokyo,,,,,,,,
Pony Canyon,,,,,,"1-5-17 Roppongi, Minato-ku, Tokyo, 106-8487, JAPAN",106-8487,https://www.ponycanyon.co.jp/,,Japan,Tokyo,,,,,Tokyo,,,,,,,,
Sony Music Entertainment (Japan) Inc.,,,,,,"4-5 Rokubancho, Chiyoda-ku, Tokyo, 102-8353 Japan ",102-8353,https://www.sonymusic.co.jp/,,Japan,Tokyo,,,,,Tokyo,,,,,,,,
Roland Corporation,,,,,,"2036-1 Nakagawa, Hosoe-cho, Hamana-ku, Hamamatsu, Shizuoka 431-1304, Japan",431-1304,https://www.roland.com/global/,,Japan,Shizuoka,,,,,Shizuoka,,,,,,,,
Warner Music Japan,,,,,,"20F Ark Hills South Tower, 1-4-5 Roppongi, Minato-ku, Tokyo 106-0032",106-0032,https://wmg.jp/,,Japan,Tokyo,,,,,Tokyo,,,,,,,,
"NIPPON COLUMBIA CO., LTD.",,,,,,"Faith Minami-Aoyama,6-10-12 Minami-Aoyama, Minato-ku, Tokyo 107-0062", 107-0062,https://columbia.jp/,,Japan,Tokyo,,,,,Tokyo,,,,,,,,
"Victor Entertainment, Inc.",,,,,,"9/10F Shibuya First Tower, 1-2-20 Higashi, Shibuya-ku, Tokyo 150-0011",150-0011,https://www.jvcmusic.co.jp/pc/,,Japan,Tokyo,,,,,Tokyo,,,,,,,,
"KING RECORD CO., LTD.",,,,,,"1-22-12 Otowa, Bunkyo-ku, Tokyo 112-0013", 112-0013,https://www.kingrecords.co.jp/cs/default.aspx,,Japan,Tokyo,,,,,Tokyo,,,,,,,,
"TEICHIKU ENTERTAINMENT, INC.",,,,,,"8F Shiba-Park Bldg.-B, 2-4-1 Shibakoen, Minato-ku, Tokyo 105-8505",105-8505,https://www.teichiku.co.jp/,,Japan,Tokyo,,,,,Tokyo,,,,,,,,
UNIVERSAL MUSIC LLC,,,,,,"Jingumae Tower Bldg., 1-5-8 Jingumae, Shibuya-ku, Tokyo 150-0001",150-0001,https://www.universal-music.co.jp/,,Japan,Tokyo,,,,,Tokyo,,,,,,,,
"NIPPON CROWN Co., Ltd.",,,,,,"3F Gotenyama Bldg., 6-5-27 Kitashinagawa, Shinagawa-ku, Tokyo 141-8573",141-8573,https://www.crownrecord.co.jp/s/c01/?ima=4309,,Japan,Tokyo,,,,,Tokyo,,,,,,,,
"Tokuma Japan Communications CO,.",,,,,,"4F Gotenyama Bldg., 6-5-27 Kitashinagawa, Shinagawa-ku, Tokyo 141-8564", 141-8564,https://www.tkma.co.jp/,,Japan,Tokyo,,,,,Tokyo,,,,,,,,
"VAP,Inc.",,,,,,"NTV Yonbancho Bldg., 1Go-Kan, 5-6 Yonbancho, Chiyoda-ku, Tokyo 102-0081",102-0081,https://www.vap.co.jp/,,Japan,Tokyo,,,,,Tokyo,,,,,,,,
"B ZONE, Inc.",,,,,,"5-2-2 Roppongi, Minato-ku, Tokyo 106-0032",106-0032,https://bzone.co.jp/,,Japan,Tokyo,,,,,Tokyo,,,,,,,,
"FOR LIFE MUSIC ENTERTAINMENT, INC.",,,,,,"8F MFPR Shibuya Nampeidai Bldg., 16-11 Nampeidaicho, Shibuya-ku, Tokyo 150-0036",150-0036,http://www.forlife.co.jp/,,Japan,Tokyo,,,,,Tokyo,,,,,,,,
"YAMAHA MUSIC COMMUNICATIONS CO., LTD.",,,,,,"Hulic Takadanobaba Bldg., 3-19-10 Takada, Toshima-ku, Tokyo 171-0033",171-0033,https://www.yamahamusic.co.jp/,,Japan,Tokyo,,,,,Tokyo,,,,,,,,
Dreamusic Inc.,,,,,,"Faith Minami-Aoyama,6-10-12 Minami-Aoyama, Minato-ku, Tokyo 107-0062", 107-0062,https://dreamusic.co.jp/,,Japan,Tokyo,,,,,Tokyo,,,,,,,,
"YOSHIMOTO MUSIC CO., LTD.",,,,,,"5-18-21 Shinjuku, Shinjuku-ku, Tokyo 160-0022",160-0022,http://yoshimoto-me.co.jp/,,Japan,Tokyo,,,,,Tokyo,,,,,,,,
Bandai Namco Music Live Inc.,,,,,,"Ebisu First Square Bldg., 1-18-14 Ebisu, Shibuya-ku, Tokyo 150-0013",150-0013,https://www.bandainamcomusiclive.co.jp/,,Japan,Tokyo,,,,,Tokyo,,,,,,,,
