Company Name ,Profile Heading,About Company,Email ,Phone Number,Tollfree Number ,Address,Pincode,URL,Company Registration No.,Country,State ,City 
"Japan Wind Development Co., Ltd.",,,,,81-3-3519-7250,"Kasumigaseki Building 15F, 2-5, Kasumigaseki 3-chome, Chiyoda-ku, Tokyo, 100-6015",,https://www.jwd.co.jp/en/,,Japan,Tokyo,Tokyo
Spirax Sarco,POWERING PROGRESS TOWARDS SUSTAINABILITY,,,,,,,https://www.spiraxsarco.com/,,Japan,Tokyo,Tokyo
Grid Solutions, ,,,,,"Suite 311 5-26-8 Kamata Ohta-Ku, Tokyo 144-0052 Japan",,https://gridsolutions.co.jp/en/,,Japan,Tokyo,Tokyo
Atomis Inc,,,,,,"7-4-9, Minatojima Minamimachi, Chuo-ku, Kobe-shi, Hyogo",,https://www.atomis.co.jp/en/,,Japan,Tokyo,Tokyo
Tensor Energy,,,,,,"2 Chome-6-11 Daimyo, Chuo Ward, Fukuoka, 810-0041,",,https://www.tensorenergy.jp/,,Japan,Tokyo,Tokyo
LEBO ROBOTICS INC,,,,,,"3-6-1 Higashimachi, Akishima-shi, Tokyo",,https://www.leborobotics.com/en,,Japan,Tokyo,Tokyo
Albatross Technology,,,,,,"2-12-5 Ningyocho, Nihonbashi",,https://www.albatross-technology.com/,,Japan,Tokyo,Tokyo
"RESC, Ltd.",,,,,,3-19-4 Kamata #701 Ota-ku Tokyo,,https://rescompany.llc/,,Japan,Tokyo,Tokyo
Canadian Solar,,,,,,"SHINJUKU MITSUI BUILDING, 43F, 2 Chome-1-1 Nishishinjuku, Shinjuku City, Tokyo , Japan",,https://www.canadiansolar.com/,,Japan,Tokyo,Tokyo
Sega,,,,,,"Sumitomo Fudosan Osaki Garden Tower 9F, 1-1-1 Nishi-Shinagawa, Shinagawa-ku,",,https://www.sega.co.jp/en/index.html,,Japan,Tokyo,Tokyo
