Company Name,Profile Heading,About Company,Email,Phone,Toll Free Number,Main Address,Address PinCode,Address URL,Company Registration Number,Main address country,Main address State,status,trending,Created date,Updated date,Main address city,verified,Paid status,Operating hours,Membership type id,Complaint status,Complaint level,logo,parent Id,,,,
Revolut,,,,,,"7 Westferry Circus, London E14 4HD, United Kingdom",,,,,,,,,,,,,,,,,,,,,,
checkout.com,,,,,,"Wenlock Works, Shepherdess Walk London, N1 7BQ?United Kingdom",,,,,,,,,,,,,,,,,,,,,,
Monzo,,,,,,"Broadwalk House, 5 Appold Street, London EC2A 2AG.",,,,,,,,,,,,,,,,,,,,,,
Starling Bank,,,,,,"5th Floor, Fruit & Wool Exchange, Duval Square, London E1 6PW, United Kingdom",,,,,,,,,,,,,,,,,,,,,,
Atom,,,,,,"Atom bank, PO Box 105, Blyth, NE249 DU",,,,,,,,,,,,,,,,,,,,,,
Prodigy Finance,,,,,,"F2, Hardy House, 16-18 Beak St, London W1F 9RD, United Kingdom",,,,,,,,,,,,,,,,,,,,,,
Zopa,,,,,,"47-49 Cottons Centre, Tooley St, London SE1 2QG, United Kingdom",,,,,,,,,,,,,,,,,,,,,,
OakNorth Bank,,,,,,"57 Broadwick St, Carnaby, London W1F 9QS, United Kingdom",,,,,,,,,,,,,,,,,,,,,,
,,,,,,"1-10 Praed Mews, Tyburnia, England, London W2 1QY.",,,,,,,,,,,,,,,,,,,,,,
Landbay,,,,,,"60 Buckingham Palace Road, London, SW1W 0AH United Kingdom",,,,,,,,,,,,,,,,,,,,,,
etoro,,,,,,"London, 24th floor, One Canada Square Canary Wharf, United Kingdom",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
